Bus Type,Bus,Phase,Current (A)
Residential,R01,0,457.31467659599855
Residential,R01,1,179.99829229818656
Residential,R01,2,179.98928197336306
Industrial,I01,0,154.2041602337713
Industrial,I01,1,91.68698912203202
Industrial,I01,2,91.68240879135158
Commercial,C01,0,240.67632661898628
Commercial,C01,1,44.75356278959785
Commercial,C01,2,44.751334713278276
Residential,R01,0,457.3146765960075
Residential,R01,1,179.998292298115
Residential,R01,2,179.98928197335005
Industrial,I01,0,154.20416023380676
Industrial,I01,1,91.68698912206796
Industrial,I01,2,91.68240879138664
Commercial,C01,0,240.67632661900387
Commercial,C01,1,44.75356278961385
Commercial,C01,2,44.75133471328765
Residential,R01,0,457.31467659599065
Residential,R01,1,179.99829229810163
Residential,R01,2,179.98928197333007
Industrial,I01,0,154.20416023378863
Industrial,I01,1,91.68698912204894
Industrial,I01,2,91.68240879136935
Commercial,C01,0,240.67632661900538
Commercial,C01,1,44.75356278963045
Commercial,C01,2,44.75133471328075
Residential,R01,0,457.31467659597666
Residential,R01,1,179.99829229811607
Residential,R01,2,179.98928197336704
Industrial,I01,0,154.20416023375154
Industrial,I01,1,91.68698912201424
Industrial,I01,2,91.68240879133201
Commercial,C01,0,240.67632661898827
Commercial,C01,1,44.75356278960387
Commercial,C01,2,44.75133471327874
Residential,R01,0,457.31467659600344
Residential,R01,1,179.998292298077
Residential,R01,2,179.9892819733649
Industrial,I01,0,154.2041602337748
Industrial,I01,1,91.68698912203664
Industrial,I01,2,91.68240879135429
Commercial,C01,0,240.6763266189962
Commercial,C01,1,44.753562789609376
Commercial,C01,2,44.75133471329987
Residential,R01,0,457.31467659600776
Residential,R01,1,179.9982922981216
Residential,R01,2,179.98928197338137
Industrial,I01,0,154.2041602337589
Industrial,I01,1,91.68698912202063
Industrial,I01,2,91.68240879133795
Commercial,C01,0,240.67632661898514
Commercial,C01,1,44.753562789604544
Commercial,C01,2,44.75133471329126
Residential,R01,0,457.31467659603635
Residential,R01,1,179.99829229811957
Residential,R01,2,179.98928197334368
Industrial,I01,0,154.20416023382197
Industrial,I01,1,91.68698912208168
Industrial,I01,2,91.6824087914007
Commercial,C01,0,240.67632661901175
Commercial,C01,1,44.753562789623956
Commercial,C01,2,44.7513347132901
Residential,R01,0,457.3146765960129
Residential,R01,1,179.9982922980791
Residential,R01,2,179.98928197337696
Industrial,I01,0,154.20416023379377
Industrial,I01,1,91.68698912205468
Industrial,I01,2,91.68240879137342
Commercial,C01,0,240.67632661900527
Commercial,C01,1,44.75356278960351
Commercial,C01,2,44.751334713288124
Residential,R01,0,457.31467659599446
Residential,R01,1,179.99829229812272
Residential,R01,2,179.98928197339973
Industrial,I01,0,154.20416023379752
Industrial,I01,1,91.68698912205835
Industrial,I01,2,91.68240879137566
Commercial,C01,0,240.6763266190117
Commercial,C01,1,44.753562789613994
Commercial,C01,2,44.7513347133003
Residential,R01,0,457.3146765959725
Residential,R01,1,179.99829229810095
Residential,R01,2,179.98928197336332
Industrial,I01,0,154.2041602337417
Industrial,I01,1,91.68698912200222
Industrial,I01,2,91.6824087913211
Commercial,C01,0,240.67632661898273
Commercial,C01,1,44.75356278960026
Commercial,C01,2,44.751334713295364
Residential,R01,0,457.31467659599195
Residential,R01,1,179.99829229810754
Residential,R01,2,179.98928197334928
Industrial,I01,0,154.2041602337695
Industrial,I01,1,91.68698912202869
Industrial,I01,2,91.68240879134838
Commercial,C01,0,240.6763266189913
Commercial,C01,1,44.75356278961604
Commercial,C01,2,44.75133471328041
Residential,R01,0,457.31467659598746
Residential,R01,1,179.9982922981544
Residential,R01,2,179.98928197334035
Industrial,I01,0,154.2041602337534
Industrial,I01,1,91.68698912201516
Industrial,I01,2,91.68240879133431
Commercial,C01,0,240.67632661898435
Commercial,C01,1,44.7535627896141
Commercial,C01,2,44.751334713274574
Residential,R01,0,457.31467659600577
Residential,R01,1,179.99829229809615
Residential,R01,2,179.9892819733663
Industrial,I01,0,154.2041602337888
Industrial,I01,1,91.6869891220494
Industrial,I01,2,91.68240879136836
Commercial,C01,0,240.67632661899674
Commercial,C01,1,44.753562789600686
Commercial,C01,2,44.75133471327546
Residential,R01,0,457.31467659599605
Residential,R01,1,179.9982922981245
Residential,R01,2,179.98928197331352
Industrial,I01,0,154.20416023380488
Industrial,I01,1,91.68698912206462
Industrial,I01,2,91.68240879138295
Commercial,C01,0,240.6763266190022
Commercial,C01,1,44.75356278960796
Commercial,C01,2,44.75133471328478
Residential,R01,0,457.3146765959895
Residential,R01,1,179.99829229808583
Residential,R01,2,179.9892819733371
Industrial,I01,0,154.20416023378138
Industrial,I01,1,91.68698912204246
Industrial,I01,2,91.68240879136299
Commercial,C01,0,240.67632661899438
Commercial,C01,1,44.7535627895902
Commercial,C01,2,44.751334713275426
Residential,R01,0,457.31467659600065
Residential,R01,1,179.99829229810757
Residential,R01,2,179.98928197335883
Industrial,I01,0,154.2041602337711
Industrial,I01,1,91.68698912203213
Industrial,I01,2,91.68240879135162
Commercial,C01,0,240.67632661899023
Commercial,C01,1,44.753562789596295
Commercial,C01,2,44.751334713278716
Residential,R01,0,457.3146765960094
Residential,R01,1,179.9982922981394
Residential,R01,2,179.98928197334698
Industrial,I01,0,154.20416023380224
Industrial,I01,1,91.68698912206301
Industrial,I01,2,91.68240879138115
Commercial,C01,0,240.6763266190092
Commercial,C01,1,44.75356278961107
Commercial,C01,2,44.75133471329331
Residential,R01,0,457.3146765959808
Residential,R01,1,179.99829229810746
Residential,R01,2,179.98928197336025
Industrial,I01,0,154.20416023375557
Industrial,I01,1,91.68698912201533
Industrial,I01,2,91.68240879133478
Commercial,C01,0,240.6763266189956
Commercial,C01,1,44.75356278958709
Commercial,C01,2,44.751334713280734
Residential,R01,0,457.31467659600025
Residential,R01,1,179.99829229810868
Residential,R01,2,179.98928197335553
Industrial,I01,0,154.20416023379693
Industrial,I01,1,91.68698912205836
Industrial,I01,2,91.68240879137566
Commercial,C01,0,240.67632661901314
Commercial,C01,1,44.753562789601276
Commercial,C01,2,44.751334713282
Residential,R01,0,457.3146765960114
Residential,R01,1,179.99829229808554
Residential,R01,2,179.98928197338688
Industrial,I01,0,154.20416023381418
Industrial,I01,1,91.68698912207495
Industrial,I01,2,91.68240879139253
Commercial,C01,0,240.67632661901058
Commercial,C01,1,44.753562789603635
Commercial,C01,2,44.75133471329867
Residential,R01,0,457.3146765960153
Residential,R01,1,179.9982922980843
Residential,R01,2,179.98928197332853
Industrial,I01,0,154.2041602338077
Industrial,I01,1,91.68698912206723
Industrial,I01,2,91.68240879138617
Commercial,C01,0,240.6763266190155
Commercial,C01,1,44.7535627896114
Commercial,C01,2,44.75133471329061
Residential,R01,0,457.3146765959898
Residential,R01,1,179.99829229807975
Residential,R01,2,179.98928197333368
Industrial,I01,0,154.20416023379343
Industrial,I01,1,91.68698912205521
Industrial,I01,2,91.68240879137113
Commercial,C01,0,240.67632661899535
Commercial,C01,1,44.75356278961018
Commercial,C01,2,44.75133471328649
Residential,R01,0,468.6335810842403
Residential,R01,1,188.13708643851544
Residential,R01,2,188.12759791628824
Industrial,I01,0,156.4003133531614
Industrial,I01,1,94.28733972558967
Industrial,I01,2,94.28259518594292
Commercial,C01,0,240.30335335930795
Commercial,C01,1,43.24682535676172
Commercial,C01,2,43.24465757312965
Residential,R01,0,468.6335810842568
Residential,R01,1,188.1370864385371
Residential,R01,2,188.12759791630526
Industrial,I01,0,156.4003133531674
Industrial,I01,1,94.28733972559685
Industrial,I01,2,94.28259518594926
Commercial,C01,0,240.30335335931701
Commercial,C01,1,43.24682535675914
Commercial,C01,2,43.24465757313572
Residential,R01,0,468.633581084261
Residential,R01,1,188.13708643851325
Residential,R01,2,188.12759791634596
Industrial,I01,0,156.40031335320216
Industrial,I01,1,94.28733972563063
Industrial,I01,2,94.28259518598252
Commercial,C01,0,240.30335335932708
Commercial,C01,1,43.24682535677579
Commercial,C01,2,43.24465757312603
Residential,R01,0,468.6335810842467
Residential,R01,1,188.13708643852527
Residential,R01,2,188.12759791630185
Industrial,I01,0,156.40031335319054
Industrial,I01,1,94.2873397256203
Industrial,I01,2,94.28259518597383
Commercial,C01,0,240.3033533593298
Commercial,C01,1,43.246825356763274
Commercial,C01,2,43.24465757314385
Residential,R01,0,468.63358108422904
Residential,R01,1,188.1370864385584
Residential,R01,2,188.12759791631717
Industrial,I01,0,156.400313353158
Industrial,I01,1,94.2873397255892
Industrial,I01,2,94.28259518594061
Commercial,C01,0,240.3033533593244
Commercial,C01,1,43.24682535675323
Commercial,C01,2,43.24465757313252
Residential,R01,0,457.2823415719259
Residential,R01,1,181.6817185261872
Residential,R01,2,181.6726777670122
Industrial,I01,0,147.05888718025932
Industrial,I01,1,85.61205498076339
Industrial,I01,2,85.60780648486141
Commercial,C01,0,236.22724765841204
Commercial,C01,1,41.57290018513391
Commercial,C01,2,41.570843699170524
Residential,R01,0,457.28234157191326
Residential,R01,1,181.68171852618866
Residential,R01,2,181.6726777670117
Industrial,I01,0,147.058887180285
Industrial,I01,1,85.61205498078927
Industrial,I01,2,85.6078064848839
Commercial,C01,0,236.22724765840906
Commercial,C01,1,41.57290018513048
Commercial,C01,2,41.570843699166275
Residential,R01,0,457.2823415719014
Residential,R01,1,181.68171852616152
Residential,R01,2,181.6726777670012
Industrial,I01,0,147.0588871802521
Industrial,I01,1,85.6120549807553
Industrial,I01,2,85.60780648485571
Commercial,C01,0,236.22724765840488
Commercial,C01,1,41.57290018512925
Commercial,C01,2,41.570843699172876
Residential,R01,0,457.28234157191764
Residential,R01,1,181.68171852612326
Residential,R01,2,181.6726777669854
Industrial,I01,0,147.0588871802659
Industrial,I01,1,85.6120549807693
Industrial,I01,2,85.60780648486757
Commercial,C01,0,236.2272476584109
Commercial,C01,1,41.57290018511874
Commercial,C01,2,41.570843699181005
Residential,R01,0,457.28234157192117
Residential,R01,1,181.68171852615365
Residential,R01,2,181.67267776697167
Industrial,I01,0,147.05888718026293
Industrial,I01,1,85.6120549807689
Industrial,I01,2,85.60780648486708
Commercial,C01,0,236.2272476583958
Commercial,C01,1,41.57290018512328
Commercial,C01,2,41.57084369917941
Residential,R01,0,444.80474526871143
Residential,R01,1,173.82652668466434
Residential,R01,2,173.8179929269069
Industrial,I01,0,139.59074428979636
Industrial,I01,1,78.74629363885157
Industrial,I01,2,78.74243911887326
Commercial,C01,0,235.37237683325424
Commercial,C01,1,43.246726322002175
Commercial,C01,2,43.24461432677401
Residential,R01,0,444.80474526873564
Residential,R01,1,173.8265266846244
Residential,R01,2,173.81799292689536
Industrial,I01,0,139.59074428982103
Industrial,I01,1,78.74629363887564
Industrial,I01,2,78.74243911889397
Commercial,C01,0,235.37237683326657
Commercial,C01,1,43.246726322024394
Commercial,C01,2,43.244614326778866
Residential,R01,0,444.80474526875815
Residential,R01,1,173.82652668465363
Residential,R01,2,173.81799292690238
Industrial,I01,0,139.59074428983047
Industrial,I01,1,78.7462936388828
Industrial,I01,2,78.7424391189035
Commercial,C01,0,235.37237683326478
Commercial,C01,1,43.246726322002836
Commercial,C01,2,43.24461432677803
Residential,R01,0,444.8047452687373
Residential,R01,1,173.82652668469865
Residential,R01,2,173.81799292689925
Industrial,I01,0,139.59074428981788
Industrial,I01,1,78.74629363887254
Industrial,I01,2,78.74243911889351
Commercial,C01,0,235.37237683325927
Commercial,C01,1,43.24672632202123
Commercial,C01,2,43.24461432677392
Residential,R01,0,444.8047452687367
Residential,R01,1,173.82652668466093
Residential,R01,2,173.81799292685113
Industrial,I01,0,139.59074428982024
Industrial,I01,1,78.74629363887304
Industrial,I01,2,78.74243911889397
Commercial,C01,0,235.37237683326526
Commercial,C01,1,43.24672632199789
Commercial,C01,2,43.2446143267667
Residential,R01,0,434.5000358302115
Residential,R01,1,167.37684367037915
Residential,R01,2,167.36872119437984
Industrial,I01,0,133.20144680673386
Industrial,I01,1,72.91233752857298
Industrial,I01,2,72.90881033778217
Commercial,C01,0,234.71949580061587
Commercial,C01,1,44.75345464712349
Commercial,C01,2,44.75129300984359
Residential,R01,0,434.50003583020185
Residential,R01,1,167.37684367035715
Residential,R01,2,167.3687211943787
Industrial,I01,0,133.20144680670737
Industrial,I01,1,72.91233752854788
Industrial,I01,2,72.90881033775645
Commercial,C01,0,234.71949580060217
Commercial,C01,1,44.75345464712024
Commercial,C01,2,44.75129300983267
Residential,R01,0,434.5000358302196
Residential,R01,1,167.3768436703908
Residential,R01,2,167.36872119435847
Industrial,I01,0,133.20144680674636
Industrial,I01,1,72.9123375285863
Industrial,I01,2,72.90881033779331
Commercial,C01,0,234.7194958006077
Commercial,C01,1,44.753454647114545
Commercial,C01,2,44.751293009849704
Residential,R01,0,434.5000358301922
Residential,R01,1,167.37684367041035
Residential,R01,2,167.3687211944226
Industrial,I01,0,133.20144680669412
Industrial,I01,1,72.91233752853604
Industrial,I01,2,72.90881033773962
Commercial,C01,0,234.71949580060294
Commercial,C01,1,44.75345464711836
Commercial,C01,2,44.75129300983912
Residential,R01,0,434.5000358301951
Residential,R01,1,167.37684367040754
Residential,R01,2,167.3687211943984
Industrial,I01,0,133.20144680671677
Industrial,I01,1,72.91233752855584
Industrial,I01,2,72.90881033776465
Commercial,C01,0,234.71949580061855
Commercial,C01,1,44.75345464712096
Commercial,C01,2,44.75129300984324
Residential,R01,0,437.03463924725077
Residential,R01,1,167.37697071200634
Residential,R01,2,167.3687803740067
Industrial,I01,0,141.31916596504695
Industrial,I01,1,79.96298024971942
Industrial,I01,2,79.95907693496763
Commercial,C01,0,239.23678602154945
Commercial,C01,1,47.60033628468958
Commercial,C01,2,47.598017147661835
Residential,R01,0,437.0346392472614
Residential,R01,1,167.3769707120141
Residential,R01,2,167.3687803740372
Industrial,I01,0,141.31916596508643
Industrial,I01,1,79.96298024975626
Industrial,I01,2,79.95907693500767
Commercial,C01,0,239.23678602156008
Commercial,C01,1,47.6003362846845
Commercial,C01,2,47.59801714766752
Residential,R01,0,437.0346392472612
Residential,R01,1,167.3769707120443
Residential,R01,2,167.36878037400095
Industrial,I01,0,141.31916596505707
Industrial,I01,1,79.96298024972891
Industrial,I01,2,79.95907693497989
Commercial,C01,0,239.23678602155462
Commercial,C01,1,47.60033628469824
Commercial,C01,2,47.59801714766265
Residential,R01,0,437.03463924725753
Residential,R01,1,167.37697071205127
Residential,R01,2,167.3687803740348
Industrial,I01,0,141.3191659650558
Industrial,I01,1,79.96298024972812
Industrial,I01,2,79.95907693497763
Commercial,C01,0,239.23678602155618
Commercial,C01,1,47.6003362846963
Commercial,C01,2,47.59801714767727
Residential,R01,0,437.0346392472759
Residential,R01,1,167.37697071197013
Residential,R01,2,167.36878037399683
Industrial,I01,0,141.31916596508444
Industrial,I01,1,79.96298024975559
Industrial,I01,2,79.95907693500493
Commercial,C01,0,239.23678602156355
Commercial,C01,1,47.600336284688446
Commercial,C01,2,47.598017147678085
Residential,R01,0,429.57072055293895
Residential,R01,1,159.80898836291442
Residential,R01,2,159.8011399312465
Industrial,I01,0,149.30947374594348
Industrial,I01,1,85.93505479708767
Industrial,I01,2,85.93084026722781
Commercial,C01,0,243.69779212333648
Commercial,C01,1,50.783254167256565
Commercial,C01,2,50.78076888227185
Residential,R01,0,429.570720552935
Residential,R01,1,159.80898836291874
Residential,R01,2,159.8011399312457
Industrial,I01,0,149.30947374593433
Industrial,I01,1,85.93505479707743
Industrial,I01,2,85.9308402672169
Commercial,C01,0,243.69779212332998
Commercial,C01,1,50.7832541672449
Commercial,C01,2,50.78076888225566
Residential,R01,0,429.5707205528944
Residential,R01,1,159.8089883628726
Residential,R01,2,159.80113993124317
Industrial,I01,0,149.30947374590102
Industrial,I01,1,85.9350547970451
Industrial,I01,2,85.93084026718505
Commercial,C01,0,243.6977921233195
Commercial,C01,1,50.78325416725197
Commercial,C01,2,50.78076888225061
Residential,R01,0,429.57072055292196
Residential,R01,1,159.80898836288955
Residential,R01,2,159.80113993126497
Industrial,I01,0,149.30947374592776
Industrial,I01,1,85.93505479707342
Industrial,I01,2,85.93084026721257
Commercial,C01,0,243.6977921233291
Commercial,C01,1,50.78325416724918
Commercial,C01,2,50.78076888226248
Residential,R01,0,429.57072055293236
Residential,R01,1,159.808988362895
Residential,R01,2,159.801139931251
Industrial,I01,0,149.30947374597994
Industrial,I01,1,85.93505479712142
Industrial,I01,2,85.93084026726235
Commercial,C01,0,243.6977921233426
Commercial,C01,1,50.783254167236414
Commercial,C01,2,50.78076888226698
Residential,R01,0,453.57569132294645
Residential,R01,1,167.37782947631365
Residential,R01,2,167.36920377607183
Industrial,I01,0,194.79640541143053
Industrial,I01,1,126.05210560003334
Industrial,I01,2,126.04559467824777
Commercial,C01,0,270.15020699193127
Commercial,C01,1,67.55565499533319
Commercial,C01,2,67.55218041230708
Residential,R01,0,453.57569132292446
Residential,R01,1,167.37782947632553
Residential,R01,2,167.36920377607214
Industrial,I01,0,194.79640541136752
Industrial,I01,1,126.05210559997056
Industrial,I01,2,126.0455946781845
Commercial,C01,0,270.15020699190774
Commercial,C01,1,67.55565499534607
Commercial,C01,2,67.55218041230542
Residential,R01,0,453.5756913229689
Residential,R01,1,167.3778294763373
Residential,R01,2,167.3692037760721
Industrial,I01,0,194.79640541145366
Industrial,I01,1,126.05210560005672
Industrial,I01,2,126.04559467826958
Commercial,C01,0,270.1502069919455
Commercial,C01,1,67.55565499534082
Commercial,C01,2,67.55218041229486
Residential,R01,0,453.57569132295913
Residential,R01,1,167.3778294763421
Residential,R01,2,167.3692037760748
Industrial,I01,0,194.79640541144983
Industrial,I01,1,126.05210560005207
Industrial,I01,2,126.04559467826687
Commercial,C01,0,270.1502069919372
Commercial,C01,1,67.5556549953462
Commercial,C01,2,67.55218041230535
Residential,R01,0,453.5756913229768
