Bus Type,Bus,Voltage (V)
Residential,R01,235.47194753921747
Residential,R01,235.47194753908968
Residential,R01,235.47194753902775
Residential,R01,235.47194753911302
Residential,R01,235.47194753903534
Residential,R01,235.4719475390487
Residential,R01,235.47194753905094
Residential,R01,235.47194753901186
Residential,R01,235.47194753916213
Residential,R01,235.47194753909872
Residential,R01,235.471947539046
Residential,R01,235.47194753913467
Residential,R01,235.47194753901317
Residential,R01,235.47194753910463
Residential,R01,235.47194753904682
Residential,R01,235.4719475390689
Residential,R01,235.47194753908227
Residential,R01,235.47194753908286
Residential,R01,235.4719475390743
Residential,R01,235.47194753905316
Residential,R01,235.4719475389844
Residential,R01,235.47194753900962
Residential,R01,235.33348131365003
Residential,R01,235.33348131365543
Residential,R01,235.3334813136815
Residential,R01,235.33348131367066
Residential,R01,235.33348131374666
Residential,R01,235.46355140054732
Residential,R01,235.46355140055647
Residential,R01,235.4635514005751
Residential,R01,235.46355140039557
Residential,R01,235.4635514004659
Residential,R01,235.61029257956258
Residential,R01,235.6102925794326
Residential,R01,235.61029257945754
Residential,R01,235.61029257961093
Residential,R01,235.61029257945427
Residential,R01,235.73120756736637
Residential,R01,235.7312075673335
Residential,R01,235.73120756733434
Residential,R01,235.7312075674434
Residential,R01,235.73120756742046
Residential,R01,235.7096872215318
Residential,R01,235.70968722153546
Residential,R01,235.70968722155803
Residential,R01,235.70968722163445
Residential,R01,235.7096872214951
Residential,R01,235.8123859115307
Residential,R01,235.81238591149923
Residential,R01,235.81238591152876
Residential,R01,235.81238591153087
Residential,R01,235.81238591159683
Residential,R01,235.56912243896147
Residential,R01,235.5691224389086
Residential,R01,235.56912243898404
Residential,R01,235.56912243892825
Residential,R01,235.56912243883423
Residential,R01,235.9467729053864
Residential,R01,235.94677290545033
Residential,R01,235.9467729052925
Residential,R01,235.9467729054123
Residential,R01,235.94677290536512
Residential,R01,235.91802606152078
Residential,R01,235.9180260614986
Residential,R01,235.91802606138552
Residential,R01,235.9180260613755
Residential,R01,235.9180260614917
Residential,R01,235.6107890514583
Residential,R01,235.6107890515326
Residential,R01,235.61078905149677
Residential,R01,235.61078905155244
Residential,R01,235.6107890516829
Residential,R01,235.5632351741729
Residential,R01,235.5632351742371
Residential,R01,235.5632351742056
Residential,R01,235.56323517420455
Residential,R01,235.56323517416212
Residential,R01,235.56645349463412
Residential,R01,235.56645349457526
Residential,R01,235.56645349463
Residential,R01,235.56645349455374
Residential,R01,235.5664534946598
Residential,R01,235.27482106221493
Residential,R01,235.27482106217235
Residential,R01,235.27482106227143
Residential,R01,235.27482106218588
Residential,R01,235.27482106225187
Residential,R01,235.01622693529617
Residential,R01,235.01622693538985
Residential,R01,235.0162269353292
Residential,R01,235.0162269353061
Residential,R01,235.01622693524135
Residential,R01,235.0708491972101
Residential,R01,235.07084919728885
Residential,R01,235.07084919723198
Residential,R01,235.07084919727112
Residential,R01,235.07084919728786
Residential,R01,235.37292852107637
Residential,R01,235.37292852112975
Residential,R01,235.37292852106435
Residential,R01,235.37292852096488
Residential,R01,235.37292852101098
Residential,R01,235.2759373926957
Residential,R01,235.2759373926948
Residential,R01,235.2759373927368
Residential,R01,235.27593739274792
Residential,R01,235.27593739273402
Residential,R01,234.28161165474472
Residential,R01,234.28161165475666
Residential,R01,234.2816116548362
Residential,R01,234.28161165477565
Residential,R01,234.28161165479136
Residential,R01,233.076941820416
Residential,R01,233.0769418205861
Residential,R01,233.07694182053686
Residential,R01,233.07694182052893
Residential,R01,233.07694182051577
Residential,R01,231.32735581851477
Residential,R01,231.32735581851452
Residential,R01,231.32735581845967
Residential,R01,231.32735581856272
Residential,R01,231.32735581857108
Residential,R01,232.01064054151732
Residential,R01,232.01064054153176
Residential,R01,232.0106405416488
Residential,R01,232.01064054150802
Residential,R01,232.01064054162023
Residential,R01,233.0194360467543
Residential,R01,233.01943604688296
Residential,R01,233.01943604679437
Residential,R01,233.01943604675967
Residential,R01,233.01943604680918
Residential,R01,234.14170509913893
Residential,R01,234.14170509926117
Residential,R01,234.14170509922232
Residential,R01,234.1417050991298
Residential,R01,234.1417050992032
Residential,R01,235.47194753904017
Residential,R01,235.47194753907846
Residential,R01,235.471947538976
Residential,R01,235.47194753895053
Residential,R01,235.47194753919263
Residential,R01,235.47194753915036
Residential,R01,235.47194753904728
Residential,R01,235.47194753901772
Residential,R01,235.47194753911117
Residential,R01,235.47194753909858
Residential,R01,235.4719475390974
Residential,R01,235.47194753901317
Residential,R01,235.47194753914832
Residential,R01,235.4719475391444
Residential,R01,235.47194753895573
Residential,R01,235.47194753903565
Residential,R01,235.471947539082
Residential,R01,235.47194753897068
Residential,R01,235.4719475390989
Residential,R01,235.47194753890915
Residential,R02,234.61327017231946
Residential,R02,234.61327017219168
Residential,R02,234.61327017212955
Residential,R02,234.61327017221538
Residential,R02,234.61327017213733
Residential,R02,234.6132701721512
Residential,R02,234.61327017215254
Residential,R02,234.61327017211448
Residential,R02,234.61327017226404
Residential,R02,234.61327017220106
