Bus,Max Voltage,Min Voltage
R01,237.58942979699623,233.59591408529403
R02,236.72336978645848,232.0058372517705
R03,235.85729379874422,230.41548770553482
R04,235.04722729144495,228.98863628130243
R05,234.4567076647757,227.87893976359638
R06,233.8703982049657,226.7692434056557
R07,233.5038603840703,226.2830891524801
R08,233.13733862446745,225.79696543813873
R09,232.7710470362134,225.31142387644317
R10,232.54495398085047,225.22201788615715
R11,235.60288408282125,229.67171540267447
R12,234.22597611808575,227.8398267774729
R13,233.40909263984437,226.6932094275756
R14,232.59260643125938,225.54938601935223
R15,231.6445779148366,222.86525488018964
R16,233.0356562203297,224.33640033756913
R17,232.2249861572434,223.76596963695462
R18,231.81019520306134,223.13931604317426
I01,239.83061558744726,234.3994511226028
I02,235.42158732791108,227.64984238705821
C01,238.3985934697891,233.07626640168542
C02,237.36607859514316,231.05689442318916
C03,236.33378063680857,229.04058247664787
C04,235.7493577851237,228.26592116256552
C05,235.16503803636164,227.49243942647075
C06,234.82038566165156,227.1928850498138
C07,234.47583544299155,226.89359222573722
C08,234.1396093425519,226.59486145640537
C09,233.90346493937815,226.82656297953946
C10,235.30848651576378,226.58305120517562
C11,234.6068786486618,226.0664345242032
C12,234.22630936449087,223.81330977504538
C13,234.22630936449087,223.81330977504538
C14,234.83354405443504,223.7470244432955
C15,234.35808255203915,226.37215011717927
C16,233.92135980375355,226.1481222858161
C17,233.43527669800653,223.3286081247765
C18,234.25450537090344,225.76916946258302
C19,233.82659107616865,224.80905232119972
C20,233.73959414852905,225.94420590975764
