Bus Type,Bus,Phase,Current (A)
Residential,R01,0,383.5730449665805
Residential,R01,1,385.8650070044501
Residential,R01,2,394.52104351491124
Industrial,I01,0,60.37165477457782
Industrial,I01,1,58.899576804170785
Industrial,I01,2,55.456355707290555
Commercial,C01,0,166.85987705602642
Commercial,C01,1,170.18635744138865
Commercial,C01,2,170.59479689200217
Residential,R01,0,383.5730449666014
Residential,R01,1,385.86500700444645
Residential,R01,2,394.5210435149394
Industrial,I01,0,60.371654774564625
Industrial,I01,1,58.89957680415876
Industrial,I01,2,55.456355707278966
Commercial,C01,0,166.8598770560297
Commercial,C01,1,170.18635744139183
Commercial,C01,2,170.59479689201504
Residential,R01,0,383.5730449666211
Residential,R01,1,385.86500700446123
Residential,R01,2,394.5210435149152
Industrial,I01,0,60.37165477456371
Industrial,I01,1,58.8995768041568
Industrial,I01,2,55.456355707275165
Commercial,C01,0,166.85987705603222
Commercial,C01,1,170.18635744139158
Commercial,C01,2,170.59479689201353
Residential,R01,0,383.5730449665985
Residential,R01,1,385.86500700446305
Residential,R01,2,394.52104351490857
Industrial,I01,0,60.37165477457145
Industrial,I01,1,58.899576804164106
Industrial,I01,2,55.456355707284445
Commercial,C01,0,166.85987705603287
Commercial,C01,1,170.186357441386
Commercial,C01,2,170.59479689201308
Residential,R01,0,383.5730449666075
Residential,R01,1,385.86500700445066
Residential,R01,2,394.5210435149039
Industrial,I01,0,60.37165477458783
Industrial,I01,1,58.8995768041819
Industrial,I01,2,55.456355707298975
Commercial,C01,0,166.85987705603358
Commercial,C01,1,170.1863574413911
Commercial,C01,2,170.59479689200626
Residential,R01,0,383.57304496663403
Residential,R01,1,385.8650070044551
Residential,R01,2,394.5210435149204
Industrial,I01,0,60.371654774563254
Industrial,I01,1,58.89957680415614
Industrial,I01,2,55.45635570727668
Commercial,C01,0,166.85987705603551
Commercial,C01,1,170.1863574413917
Commercial,C01,2,170.59479689201333
Residential,R01,0,383.573044966599
Residential,R01,1,385.8650070044567
Residential,R01,2,394.5210435149365
Industrial,I01,0,60.37165477458146
Industrial,I01,1,58.899576804176235
Industrial,I01,2,55.45635570729574
Commercial,C01,0,166.85987705603867
Commercial,C01,1,170.18635744139448
Commercial,C01,2,170.59479689200302
Residential,R01,0,383.5730449666286
Residential,R01,1,385.86500700446925
Residential,R01,2,394.5210435149346
Industrial,I01,0,60.371654774559616
Industrial,I01,1,58.899576804152424
Industrial,I01,2,55.456355707273126
Commercial,C01,0,166.85987705603614
Commercial,C01,1,170.18635744139732
Commercial,C01,2,170.59479689202303
Residential,R01,0,383.57304496660737
Residential,R01,1,385.8650070044749
Residential,R01,2,394.5210435149392
Industrial,I01,0,60.371654774565535
Industrial,I01,1,58.89957680415888
Industrial,I01,2,55.45635570727871
Commercial,C01,0,166.85987705603557
Commercial,C01,1,170.1863574413989
Commercial,C01,2,170.59479689201436
Residential,R01,0,383.5730449666117
Residential,R01,1,385.86500700445856
Residential,R01,2,394.52104351491073
Industrial,I01,0,60.37165477457509
Industrial,I01,1,58.899576804170344
Industrial,I01,2,55.45635570728826
Commercial,C01,0,166.85987705603296
Commercial,C01,1,170.1863574413881
Commercial,C01,2,170.59479689200867
Residential,R01,0,383.5730449666143
Residential,R01,1,385.86500700449926
Residential,R01,2,394.52104351490954
Industrial,I01,0,60.37165477456872
Industrial,I01,1,58.89957680416176
Industrial,I01,2,55.45635570727989
Commercial,C01,0,166.859877056031
Commercial,C01,1,170.1863574413836
Commercial,C01,2,170.594796892008
Residential,R01,0,383.5730449666064
Residential,R01,1,385.8650070044661
Residential,R01,2,394.5210435149223
Industrial,I01,0,60.371654774560064
Industrial,I01,1,58.89957680415349
Industrial,I01,2,55.45635570727373
Commercial,C01,0,166.85987705603748
Commercial,C01,1,170.18635744140107
Commercial,C01,2,170.59479689201206
Residential,R01,0,383.5730449665991
Residential,R01,1,385.8650070044518
Residential,R01,2,394.5210435149092
Industrial,I01,0,60.3716547745669
Industrial,I01,1,58.89957680416193
Industrial,I01,2,55.456355707279975
Commercial,C01,0,166.85987705602838
Commercial,C01,1,170.18635744139294
Commercial,C01,2,170.59479689200606
Residential,R01,0,383.573044966595
Residential,R01,1,385.8650070044548
Residential,R01,2,394.5210435149046
Industrial,I01,0,60.37165477457327
Industrial,I01,1,58.899576804164376
Industrial,I01,2,55.45635570728638
Commercial,C01,0,166.8598770560297
Commercial,C01,1,170.1863574413836
Commercial,C01,2,170.5947968920054
Residential,R01,0,383.57304496658156
Residential,R01,1,385.8650070044331
Residential,R01,2,394.5210435149054
Industrial,I01,0,60.37165477457099
Industrial,I01,1,58.899576804164155
Industrial,I01,2,55.45635570728381
Commercial,C01,0,166.8598770560323
Commercial,C01,1,170.186357441393
Commercial,C01,2,170.5947968920049
Residential,R01,0,383.5730449666167
Residential,R01,1,385.8650070044736
Residential,R01,2,394.52104351492386
Industrial,I01,0,60.371654774558706
Industrial,I01,1,58.899576804153
Industrial,I01,2,55.456355707269964
Commercial,C01,0,166.85987705603029
Commercial,C01,1,170.18635744138953
Commercial,C01,2,170.59479689201856
Residential,R01,0,383.57304496659356
Residential,R01,1,385.8650070044641
Residential,R01,2,394.5210435149313
Industrial,I01,0,60.37165477457099
Industrial,I01,1,58.899576804164276
Industrial,I01,2,55.45635570728029
Commercial,C01,0,166.8598770560381
Commercial,C01,1,170.18635744140227
Commercial,C01,2,170.59479689201274
Residential,R01,0,383.57304496658224
Residential,R01,1,385.86500700442514
Residential,R01,2,394.5210435149418
Industrial,I01,0,60.371654774577365
Industrial,I01,1,58.89957680416942
Industrial,I01,2,55.45635570729193
Commercial,C01,0,166.85987705603037
Commercial,C01,1,170.18635744138558
Commercial,C01,2,170.59479689200344
Residential,R01,0,383.57304496659646
Residential,R01,1,385.8650070044495
Residential,R01,2,394.5210435149272
Industrial,I01,0,60.37165477458464
Industrial,I01,1,58.89957680417633
Industrial,I01,2,55.45635570729486
Commercial,C01,0,166.85987705603034
Commercial,C01,1,170.1863574413886
Commercial,C01,2,170.59479689200174
Residential,R01,0,383.5730449666121
Residential,R01,1,385.86500700447493
Residential,R01,2,394.5210435149198
Industrial,I01,0,60.37165477457054
Industrial,I01,1,58.899576804164504
Industrial,I01,2,55.45635570728267
Commercial,C01,0,166.85987705602903
Commercial,C01,1,170.18635744138518
Commercial,C01,2,170.59479689200276
Residential,R01,0,383.57304496662255
Residential,R01,1,385.8650070044768
Residential,R01,2,394.521043514955
Industrial,I01,0,60.37165477456098
Industrial,I01,1,58.89957680415304
Industrial,I01,2,55.45635570727427
Commercial,C01,0,166.85987705603932
Commercial,C01,1,170.1863574413997
Commercial,C01,2,170.59479689202215
Residential,R01,0,383.5730449666052
Residential,R01,1,385.8650070044564
Residential,R01,2,394.52104351493745
Industrial,I01,0,60.37165477456872
Industrial,I01,1,58.89957680416282
Industrial,I01,2,55.45635570728139
Commercial,C01,0,166.8598770560381
Commercial,C01,1,170.1863574413845
Commercial,C01,2,170.5947968920078
Residential,R01,0,395.01171313073314
Residential,R01,1,397.2908958504633
Residential,R01,2,406.10510175495375
Industrial,I01,0,58.89100824054811
Industrial,I01,1,57.37493508695502
Industrial,I01,2,53.930400889397376
Commercial,C01,0,165.78322037095984
Commercial,C01,1,169.1215344452272
Commercial,C01,2,169.51323505044945
Residential,R01,0,395.01171313074974
Residential,R01,1,397.2908958504959
Residential,R01,2,406.10510175498007
Industrial,I01,0,58.891008240518175
Industrial,I01,1,57.374935086925376
Industrial,I01,2,53.930400889373274
Commercial,C01,0,165.7832203709799
Commercial,C01,1,169.12153444524193
Commercial,C01,2,169.5132350504521
Residential,R01,0,395.0117131307235
Residential,R01,1,397.2908958504295
Residential,R01,2,406.10510175495443
Industrial,I01,0,58.89100824057028
Industrial,I01,1,57.374935086977054
Industrial,I01,2,53.93040088942233
Commercial,C01,0,165.78322037095904
Commercial,C01,1,169.12153444521618
Commercial,C01,2,169.51323505043578
Residential,R01,0,395.0117131307183
Residential,R01,1,397.2908958504588
Residential,R01,2,406.1051017549971
Industrial,I01,0,58.89100824053248
Industrial,I01,1,57.37493508693888
Industrial,I01,2,53.930400889384316
Commercial,C01,0,165.7832203709805
Commercial,C01,1,169.12153444523943
Commercial,C01,2,169.5132350504627
Residential,R01,0,395.01171313070586
Residential,R01,1,397.29089585044346
Residential,R01,2,406.1051017548987
Industrial,I01,0,58.89100824058131
Industrial,I01,1,57.37493508698755
Industrial,I01,2,53.93040088943239
Commercial,C01,0,165.78322037095538
Commercial,C01,1,169.1215344452152
Commercial,C01,2,169.51323505042916
Residential,R01,0,384.4592365272218
Residential,R01,1,386.71917395559257
Residential,R01,2,395.3529269399152
Industrial,I01,0,63.439053607109
Industrial,I01,1,61.84744207660501
Industrial,I01,2,58.3134000620011
Commercial,C01,0,162.67090500033237
Commercial,C01,1,165.96971231615467
Commercial,C01,2,166.34438666157848
Residential,R01,0,384.4592365272155
Residential,R01,1,386.71917395559757
Residential,R01,2,395.35292693989913
Industrial,I01,0,63.4390536071067
Industrial,I01,1,61.84744207660374
Industrial,I01,2,58.31340006200314
Commercial,C01,0,162.67090500032188
Commercial,C01,1,165.9697123161476
Commercial,C01,2,166.3443866615816
Residential,R01,0,384.4592365272278
Residential,R01,1,386.71917395561707
Residential,R01,2,395.352926939918
Industrial,I01,0,63.4390536071004
Industrial,I01,1,61.84744207659777
Industrial,I01,2,58.31340006199461
Commercial,C01,0,162.67090500033348
Commercial,C01,1,165.96971231615396
Commercial,C01,2,166.34438666158954
Residential,R01,0,384.4592365272173
Residential,R01,1,386.71917395558904
Residential,R01,2,395.35292693990425
Industrial,I01,0,63.439053607091545
Industrial,I01,1,61.847442076588884
Industrial,I01,2,58.3134000619849
Commercial,C01,0,162.6709050003258
Commercial,C01,1,165.96971231615476
Commercial,C01,2,166.344386661586
Residential,R01,0,384.4592365272327
Residential,R01,1,386.719173955598
Residential,R01,2,395.3529269399039
Industrial,I01,0,63.43905360709537
Industrial,I01,1,61.84744207659078
Industrial,I01,2,58.31340006198772
Commercial,C01,0,162.67090500032688
Commercial,C01,1,165.96971231615092
Commercial,C01,2,166.34438666158374
Residential,R01,0,372.5429879639893
Residential,R01,1,374.7975383285469
Residential,R01,2,383.2453734173472
Industrial,I01,0,66.71582666915059
Industrial,I01,1,65.06805821815941
Industrial,I01,2,61.49849155941542
Commercial,C01,0,163.12346294607866
Commercial,C01,1,166.38901375962106
Commercial,C01,2,166.78288397163868
