Bus Type,Bus,Voltage (V)
Residential,R01,237.4958891444995
Residential,R01,237.49588914444965
Residential,R01,237.49588914445548
Residential,R01,237.49588914444405
Residential,R01,237.49588914440864
Residential,R01,237.4958891442919
Residential,R01,237.4958891445287
Residential,R01,237.49588914444126
Residential,R01,237.49588914449552
Residential,R01,237.49588914445513
Residential,R01,237.4958891445316
Residential,R01,237.4958891444493
Residential,R01,237.49588914451022
Residential,R01,237.49588914446986
Residential,R01,237.49588914444686
Residential,R01,237.49588914445363
Residential,R01,237.49588914449305
Residential,R01,237.49588914441998
Residential,R01,237.49588914449978
Residential,R01,237.49588914440938
Residential,R01,237.49588914450754
Residential,R01,237.49588914450752
Residential,R01,237.39400352579474
Residential,R01,237.39400352579116
Residential,R01,237.39400352571334
Residential,R01,237.39400352585233
Residential,R01,237.39400352576865
Residential,R01,237.4806234848659
Residential,R01,237.48062348491297
Residential,R01,237.4806234849398
Residential,R01,237.48062348492587
Residential,R01,237.4806234848173
Residential,R01,237.58229244186091
Residential,R01,237.58229244175075
Residential,R01,237.58229244173393
Residential,R01,237.58229244175538
Residential,R01,237.58229244178122
Residential,R01,237.66579884444744
Residential,R01,237.66579884434094
Residential,R01,237.66579884437024
Residential,R01,237.66579884438218
Residential,R01,237.66579884436428
Residential,R01,237.6596812692506
Residential,R01,237.6596812693179
Residential,R01,237.65968126940913
Residential,R01,237.65968126941848
Residential,R01,237.659681269334
Residential,R01,237.74710392421582
Residential,R01,237.74710392424387
Residential,R01,237.74710392395212
Residential,R01,237.74710392420243
Residential,R01,237.7471039241983
Residential,R01,237.6193824597474
Residential,R01,237.6193824597569
Residential,R01,237.61938245970015
Residential,R01,237.61938245980105
Residential,R01,237.61938245979348
Residential,R01,237.94660152369462
Residential,R01,237.94660152359808
Residential,R01,237.94660152369852
Residential,R01,237.9466015235976
Residential,R01,237.94660152359992
Residential,R01,237.99070949864728
Residential,R01,237.9907094986248
Residential,R01,237.99070949866484
Residential,R01,237.9907094986016
Residential,R01,237.9907094987103
Residential,R01,237.8494107016579
Residential,R01,237.8494107017174
Residential,R01,237.84941070181515
Residential,R01,237.84941070176524
Residential,R01,237.8494107017485
Residential,R01,237.83089013504835
Residential,R01,237.83089013493318
Residential,R01,237.83089013505707
Residential,R01,237.83089013508146
Residential,R01,237.8308901351468
Residential,R01,237.83025343497158
Residential,R01,237.83025343486696
Residential,R01,237.8302534349831
Residential,R01,237.8302534349805
Residential,R01,237.8302534348392
Residential,R01,237.63535848678018
Residential,R01,237.6353584868257
Residential,R01,237.6353584867105
Residential,R01,237.63535848672882
Residential,R01,237.63535848679908
Residential,R01,237.45414757546655
Residential,R01,237.45414757548292
Residential,R01,237.4541475754769
Residential,R01,237.4541475756264
Residential,R01,237.4541475755451
Residential,R01,237.470261494243
Residential,R01,237.47026149416976
Residential,R01,237.47026149426344
Residential,R01,237.47026149416237
Residential,R01,237.47026149422166
Residential,R01,237.6592244191607
Residential,R01,237.65922441917877
Residential,R01,237.65922441910004
Residential,R01,237.65922441929743
Residential,R01,237.659224419273
Residential,R01,237.62601074902253
Residential,R01,237.62601074899248
Residential,R01,237.62601074894567
Residential,R01,237.62601074907923
Residential,R01,237.6260107489822
Residential,R01,236.92930648840345
Residential,R01,236.92930648844262
Residential,R01,236.92930648844379
Residential,R01,236.92930648838305
Residential,R01,236.92930648833342
Residential,R01,236.03116705537178
Residential,R01,236.03116705540492
Residential,R01,236.03116705532568
Residential,R01,236.03116705537565
Residential,R01,236.03116705544923
Residential,R01,234.76219525811163
Residential,R01,234.76219525822245
Residential,R01,234.76219525819516
Residential,R01,234.76219525814312
Residential,R01,234.76219525823296
Residential,R01,235.17304399553493
Residential,R01,235.17304399560226
Residential,R01,235.17304399551236
Residential,R01,235.17304399554246
Residential,R01,235.17304399552168
Residential,R01,235.79597734778665
Residential,R01,235.79597734780427
Residential,R01,235.79597734769897
Residential,R01,235.795977347843
Residential,R01,235.79597734783312
Residential,R01,236.56214021525474
Residential,R01,236.56214021520566
Residential,R01,236.56214021520725
Residential,R01,236.5621402151831
Residential,R01,236.56214021530621
Residential,R01,237.49588914447796
Residential,R01,237.49588914456177
Residential,R01,237.49588914447028
Residential,R01,237.49588914455188
Residential,R01,237.4958891444126
Residential,R01,237.49588914443885
Residential,R01,237.495889144431
Residential,R01,237.49588914441938
Residential,R01,237.49588914453702
Residential,R01,237.495889144536
Residential,R01,237.4958891444982
Residential,R01,237.49588914447472
Residential,R01,237.49588914449302
Residential,R01,237.49588914456297
Residential,R01,237.4958891445474
Residential,R01,237.49588914446875
Residential,R01,237.49588914451095
Residential,R01,237.49588914446008
Residential,R01,237.4958891445002
Residential,R01,237.49588914449677
Residential,R02,236.4615108665226
Residential,R02,236.4615108664728
Residential,R02,236.4615108664777
Residential,R02,236.4615108664667
Residential,R02,236.46151086643096
Residential,R02,236.46151086631465
Residential,R02,236.46151086655186
Residential,R02,236.4615108664641
Residential,R02,236.46151086651886
Residential,R02,236.4615108664775
Residential,R02,236.46151086655402
Residential,R02,236.46151086647197
Residential,R02,236.46151086653327
Residential,R02,236.4615108664927
Residential,R02,236.46151086646978
Residential,R02,236.46151086647606
Residential,R02,236.4615108665162
Residential,R02,236.46151086644318
Residential,R02,236.46151086652273
Residential,R02,236.46151086643175
Residential,R02,236.4615108665304
Residential,R02,236.46151086653057
Residential,R02,236.3322231483693
Residential,R02,236.33222314836587
Residential,R02,236.33222314828808
Residential,R02,236.3322231484267
Residential,R02,236.33222314834256
Residential,R02,236.44547869781306
Residential,R02,236.44547869785995
Residential,R02,236.4454786978872
Residential,R02,236.44547869787215
Residential,R02,236.44547869776352
Residential,R02,236.57650337344253
Residential,R02,236.57650337333214
Residential,R02,236.576503373315
Residential,R02,236.57650337333706
Residential,R02,236.57650337336207
Residential,R02,236.68420692741034
Residential,R02,236.6842069273042
Residential,R02,236.68420692733284
Residential,R02,236.68420692734466
Residential,R02,236.6842069273267
Residential,R02,236.6728955283912
Residential,R02,236.67289552845767
Residential,R02,236.67289552854902
Residential,R02,236.67289552855942
Residential,R02,236.6728955284734
Residential,R02,236.7797716580895
Residential,R02,236.7797716581179
Residential,R02,236.77977165782596
Residential,R02,236.77977165807596
Residential,R02,236.77977165807215
Residential,R02,236.59845007892375
Residential,R02,236.59845007893344
Residential,R02,236.59845007887606
Residential,R02,236.5984500789781
Residential,R02,236.59845007897
Residential,R02,236.99475721477927
Residential,R02,236.99475721468247
Residential,R02,236.99475721478333
Residential,R02,236.99475721468164
Residential,R02,236.99475721468454
Residential,R02,237.0257363730787
Residential,R02,237.0257363730556
Residential,R02,237.0257363730957
Residential,R02,237.02573637303314
Residential,R02,237.0257363731419
Residential,R02,236.81125123170494
Residential,R02,236.8112512317644
Residential,R02,236.81125123186217
Residential,R02,236.81125123181212
Residential,R02,236.81125123179484
Residential,R02,236.78113356118268
Residential,R02,236.78113356106675
Residential,R02,236.78113356119155
Residential,R02,236.7811335612158
Residential,R02,236.78113356128074
Residential,R02,236.78000846142095
Residential,R02,236.78000846131673
Residential,R02,236.78000846143166
Residential,R02,236.78000846142976
Residential,R02,236.78000846128873
Residential,R02,236.52546572885024
Residential,R02,236.52546572889568
Residential,R02,236.52546572878015
Residential,R02,236.52546572879893
Residential,R02,236.52546572886993
Residential,R02,236.29249196056657
Residential,R02,236.29249196058296
Residential,R02,236.2924919605773
Residential,R02,236.2924919607274
Residential,R02,236.29249196064555
Residential,R02,236.32207446585326
Residential,R02,236.32207446577894
Residential,R02,236.32207446587304
Residential,R02,236.3220744657718
Residential,R02,236.32207446583104
Residential,R02,236.57341138850632
Residential,R02,236.57341138852394
Residential,R02,236.57341138844453
Residential,R02,236.57341138864226
Residential,R02,236.57341138861707
Residential,R02,236.51244488448006
Residential,R02,236.51244488445036
Residential,R02,236.51244488440406
Residential,R02,236.5124448845369
Residential,R02,236.51244488444004
Residential,R02,235.61444415370443
Residential,R02,235.61444415374407
