Bus,Max Voltage,Min Voltage
R01,238.1807605452588,234.6936332056985
R02,237.12254324347228,232.36083870445174
R03,236.06441347923322,230.02804703823546
R04,235.07595780320062,227.89877422676093
R05,234.33384236811895,226.52004452807697
R06,233.59179248723157,225.14131555378165
R07,233.10833675500547,224.53132029364698
R08,232.6249178846152,223.92137856549954
R09,232.14162820258136,223.31169494659989
R10,231.82363572346665,223.19269165580457
R11,235.77470026719962,229.18034911491608
R12,234.0494352647721,224.75848616014756
R13,233.02311444376951,221.6200218137971
R14,231.99707265608347,218.483681140841
R15,230.97123807632013,215.3493269426513
R16,232.6688766908281,222.3937887886952
R17,231.5516482806579,221.5587141262627
R18,231.02971083189695,220.83193028096653
I01,239.0810318165513,232.69213134412493
I02,237.94481665259931,217.90874021107655
C01,238.77562754865315,233.08686026144667
C02,237.59569337804788,229.46550920524078
C03,236.4160284329422,225.84460244344623
C04,235.6528225120758,224.76975574323998
C05,234.88984238403992,223.69601722360923
C06,234.33938271350036,223.9149852974095
C07,233.7891288028161,224.1354974179229
C08,233.2390544855464,224.3575795757395
C09,232.79236114065552,225.18578490060486
C10,235.47418848246969,220.0727616271124
C11,234.8942016794914,216.50379432603967
C12,234.4699263721131,213.89443861080497
C13,234.4699263721131,213.89443861080497
C14,234.9449407561156,216.85734496271905
C15,234.18674905851597,219.40885450322716
C16,233.82247531124958,217.1793596979753
C17,233.28949910554795,213.9189014655476
C18,234.0706075658853,218.7124059316552
C19,232.89753159075593,222.35494535350674
C20,232.62144323689006,224.19343210730298
