Bus,Max Voltage,Min Voltage
R01,236.65849213933978,229.10011004831046
R02,235.87561079688084,226.59830498203385
R03,235.09272130809623,224.09679962115396
R04,234.36592334205102,221.7634842814912
R05,233.84121489588253,220.09370484535205
R06,233.31652591981197,218.42412980472136
R07,233.00157207616513,217.41392869257666
R08,232.68662572289102,216.40380782338795
R09,232.37160127656773,215.3934859868818
R10,232.19082536610802,214.81166296828528
R11,234.83767758279407,223.33353202145867
R12,233.44735901068498,218.73210782428137
R13,232.52896347290726,215.70243420677954
R14,231.6110050260169,212.6753821693314
R15,230.69322206247742,209.65021249392498
R16,232.49856086890503,215.8524784858608
R17,231.84826085547144,213.72410618621225
R18,231.48576228282124,212.54319830760596
I01,238.81914205913537,232.75173820773625
I02,236.779124465863,221.40983205254128
C01,237.72858275348824,224.06079522779862
C02,237.03539630232888,219.35800973563275
C03,236.34226575339153,214.65815641407818
C04,236.0184521023497,212.45334655365923
C05,235.69465109140862,210.24920878410944
C06,235.5588421195194,209.34485784303575
C07,235.42303537294816,208.44061000793764
C08,235.28717840474783,207.53609862489685
C09,235.24197279588873,207.23637852832678
C10,235.49681154205493,208.92618973386183
C11,234.97575355880298,205.35752121184768
C12,234.5935289911074,202.73901427751937
C13,234.5935289911074,202.73901427751937
C14,235.02086615948784,205.75507899572347
C15,235.06305136117354,205.86391981518094
C16,234.73651224758882,203.5741312472066
C17,234.2574424499384,200.21429575257886
C18,234.95922694541744,205.16965028718226
C19,234.98267900702047,205.50877531462518
C20,235.0899014092197,206.23098060160908
