Bus Type,Bus,Phase,Current (A)
Residential,R01,0,327.96520101129414
Residential,R01,1,235.0403442084762
Residential,R01,2,250.95272759914465
Industrial,I01,0,34.91150241079592
Industrial,I01,1,63.52769186631809
Industrial,I01,2,63.35792238973661
Commercial,C01,0,103.33033490330004
Commercial,C01,1,79.67985096379311
Commercial,C01,2,84.6284433732285
Residential,R01,0,327.9652010113056
Residential,R01,1,235.04034420846764
Residential,R01,2,250.9527275991338
Industrial,I01,0,34.91150241079763
Industrial,I01,1,63.52769186631832
Industrial,I01,2,63.357922389736586
Commercial,C01,0,103.33033490328073
Commercial,C01,1,79.67985096379583
Commercial,C01,2,84.62844337322146
Residential,R01,0,327.96520101128647
Residential,R01,1,235.04034420848078
Residential,R01,2,250.95272759914005
Industrial,I01,0,34.91150241079421
Industrial,I01,1,63.52769186631256
Industrial,I01,2,63.35792238973291
Commercial,C01,0,103.33033490330084
Commercial,C01,1,79.67985096380907
Commercial,C01,2,84.62844337322146
Residential,R01,0,327.96520101130335
Residential,R01,1,235.04034420849317
Residential,R01,2,250.95272759912245
Industrial,I01,0,34.91150241079518
Industrial,I01,1,63.52769186631763
Industrial,I01,2,63.35792238973431
Commercial,C01,0,103.3303349032943
Commercial,C01,1,79.67985096380167
Commercial,C01,2,84.6284433732197
Residential,R01,0,327.9652010112798
Residential,R01,1,235.04034420847864
Residential,R01,2,250.95272759913766
Industrial,I01,0,34.91150241079678
Industrial,I01,1,63.52769186631684
Industrial,I01,2,63.357922389734775
Commercial,C01,0,103.33033490330274
Commercial,C01,1,79.67985096379293
Commercial,C01,2,84.62844337322498
Residential,R01,0,327.96520101130227
Residential,R01,1,235.04034420850462
Residential,R01,2,250.95272759913004
Industrial,I01,0,34.91150241079841
Industrial,I01,1,63.52769186632081
Industrial,I01,2,63.357922389737496
Commercial,C01,0,103.33033490328968
Commercial,C01,1,79.67985096380532
Commercial,C01,2,84.62844337321043
Residential,R01,0,327.9652010113053
Residential,R01,1,235.0403442084588
Residential,R01,2,250.9527275991095
Industrial,I01,0,34.911502410796196
Industrial,I01,1,63.52769186632136
Industrial,I01,2,63.357922389738846
Commercial,C01,0,103.33033490330945
Commercial,C01,1,79.67985096379759
Commercial,C01,2,84.62844337322676
Residential,R01,0,327.9652010112993
Residential,R01,1,235.04034420849473
Residential,R01,2,250.95272759914718
Industrial,I01,0,34.91150241079172
Industrial,I01,1,63.52769186631076
Industrial,I01,2,63.35792238972975
Commercial,C01,0,103.330334903297
Commercial,C01,1,79.67985096379934
Commercial,C01,2,84.6284433732241
Residential,R01,0,327.9652010112764
Residential,R01,1,235.04034420848888
Residential,R01,2,250.9527275991089
Industrial,I01,0,34.91150241079896
Industrial,I01,1,63.527691866321916
Industrial,I01,2,63.357922389740246
Commercial,C01,0,103.33033490330108
Commercial,C01,1,79.67985096379678
Commercial,C01,2,84.62844337322456
Residential,R01,0,327.9652010112901
Residential,R01,1,235.04034420849644
Residential,R01,2,250.9527275991562
Industrial,I01,0,34.91150241079615
Industrial,I01,1,63.52769186631606
Industrial,I01,2,63.35792238973665
Commercial,C01,0,103.33033490329493
Commercial,C01,1,79.67985096380005
Commercial,C01,2,84.62844337322058
Residential,R01,0,327.9652010112839
Residential,R01,1,235.04034420848964
Residential,R01,2,250.9527275991405
Industrial,I01,0,34.91150241079398
Industrial,I01,1,63.52769186631436
Industrial,I01,2,63.35792238973298
Commercial,C01,0,103.33033490329174
Commercial,C01,1,79.6798509637983
Commercial,C01,2,84.62844337322323
Residential,R01,0,327.96520101129346
Residential,R01,1,235.04034420850033
Residential,R01,2,250.95272759911558
Industrial,I01,0,34.911502410797006
Industrial,I01,1,63.52769186631934
Industrial,I01,2,63.35792238973613
Commercial,C01,0,103.33033490329014
Commercial,C01,1,79.67985096379431
Commercial,C01,2,84.62844337322761
Residential,R01,0,327.9652010112789
Residential,R01,1,235.04034420851696
Residential,R01,2,250.9527275991363
Industrial,I01,0,34.91150241079654
Industrial,I01,1,63.52769186631684
Industrial,I01,2,63.35792238973566
Commercial,C01,0,103.33033490329669
Commercial,C01,1,79.67985096379664
Commercial,C01,2,84.62844337321661
Residential,R01,0,327.96520101129676
Residential,R01,1,235.04034420848828
Residential,R01,2,250.95272759915497
Industrial,I01,0,34.9115024107899
Industrial,I01,1,63.52769186630781
Industrial,I01,2,63.357922389725715
Commercial,C01,0,103.33033490329636
Commercial,C01,1,79.67985096380555
Commercial,C01,2,84.62844337323162
Residential,R01,0,327.96520101130017
Residential,R01,1,235.040344208482
Residential,R01,2,250.95272759911936
Industrial,I01,0,34.91150241079915
Industrial,I01,1,63.52769186632067
Industrial,I01,2,63.357922389740224
Commercial,C01,0,103.33033490329294
Commercial,C01,1,79.67985096380062
Commercial,C01,2,84.62844337321881
Residential,R01,0,327.965201011295
Residential,R01,1,235.04034420852696
Residential,R01,2,250.95272759910154
Industrial,I01,0,34.9115024107925
Industrial,I01,1,63.5276918663138
Industrial,I01,2,63.357922389732
Commercial,C01,0,103.3303349032966
Commercial,C01,1,79.67985096380916
Commercial,C01,2,84.62844337322103
Residential,R01,0,327.9652010112863
Residential,R01,1,235.04034420850294
Residential,R01,2,250.95272759909508
Industrial,I01,0,34.911502410797866
Industrial,I01,1,63.527691866321916
Industrial,I01,2,63.35792238973655
Commercial,C01,0,103.33033490330483
Commercial,C01,1,79.67985096380019
Commercial,C01,2,84.62844337323028
Residential,R01,0,327.9652010112972
Residential,R01,1,235.04034420850564
Residential,R01,2,250.95272759913
Industrial,I01,0,34.91150241079433
Industrial,I01,1,63.5276918663157
Industrial,I01,2,63.35792238973295
Commercial,C01,0,103.33033490329007
Commercial,C01,1,79.67985096379407
Commercial,C01,2,84.62844337322456
Residential,R01,0,327.965201011302
Residential,R01,1,235.04034420849945
Residential,R01,2,250.9527275991057
Industrial,I01,0,34.911502410795066
Industrial,I01,1,63.52769186631537
Industrial,I01,2,63.357922389733844
Commercial,C01,0,103.33033490329382
Commercial,C01,1,79.67985096379317
Commercial,C01,2,84.62844337322542
Residential,R01,0,327.96520101127527
Residential,R01,1,235.04034420850178
Residential,R01,2,250.9527275991738
Industrial,I01,0,34.91150241079056
Industrial,I01,1,63.52769186631053
Industrial,I01,2,63.357922389728365
Commercial,C01,0,103.33033490329167
Commercial,C01,1,79.67985096380427
Commercial,C01,2,84.62844337322016
Residential,R01,0,327.96520101130886
Residential,R01,1,235.04034420849993
Residential,R01,2,250.9527275991386
Industrial,I01,0,34.91150241079475
Industrial,I01,1,63.52769186631809
