Bus Type,Bus,Phase,Current (A)
Residential,R01,0,356.9875171334187
Residential,R01,1,179.9953471225121
Residential,R01,2,179.99119244881774
Industrial,I01,0,51.082399001122454
Industrial,I01,1,1.4062285205060312e-12
Industrial,I01,2,1.7100329565086353e-12
Commercial,C01,0,87.0577925153061
Commercial,C01,1,44.752834505751444
Commercial,C01,2,44.75180713650033
Residential,R01,0,356.9875171334083
Residential,R01,1,179.99534712251472
Residential,R01,2,179.99119244881214
Industrial,I01,0,51.082399001123676
Industrial,I01,1,4.687428401686771e-13
Industrial,I01,2,2.4548197509021956e-12
Commercial,C01,0,87.05779251530508
Commercial,C01,1,44.75283450573226
Commercial,C01,2,44.751807136480835
Residential,R01,0,356.9875171334062
Residential,R01,1,179.9953471225466
Residential,R01,2,179.99119244882198
Industrial,I01,0,51.082399001123896
Industrial,I01,1,1.805617577505085e-12
Industrial,I01,2,1.2773969646243717e-12
Commercial,C01,0,87.0577925153081
Commercial,C01,1,44.75283450574383
Commercial,C01,2,44.75180713648518
Residential,R01,0,356.9875171334177
Residential,R01,1,179.99534712255323
Residential,R01,2,179.99119244884304
Industrial,I01,0,51.08239900112223
Industrial,I01,1,4.687428401686771e-13
Industrial,I01,2,1.7100329565086353e-12
Commercial,C01,0,87.0577925153091
Commercial,C01,1,44.752834505746655
Commercial,C01,2,44.75180713649385
Residential,R01,0,356.9875171334364
Residential,R01,1,179.99534712255348
Residential,R01,2,179.99119244884238
Industrial,I01,0,51.08239900112448
Industrial,I01,1,1.3306703193301957e-12
Industrial,I01,2,9.25343817704044e-13
Commercial,C01,0,87.05779251530609
Commercial,C01,1,44.75283450576202
Commercial,C01,2,44.75180713648155
Residential,R01,0,356.98751713342745
Residential,R01,1,179.99534712252327
Residential,R01,2,179.99119244880214
Industrial,I01,0,51.08239900112288
Industrial,I01,1,1.2505552149377763e-12
Industrial,I01,2,3.0889573666157788e-12
Commercial,C01,0,87.05779251531112
Commercial,C01,1,44.75283450574399
Commercial,C01,2,44.75180713649298
Residential,R01,0,356.9875171334111
Residential,R01,1,179.99534712255846
Residential,R01,2,179.9911924488011
Industrial,I01,0,51.08239900112165
