Bus Type,Bus,Voltage (V)
Residential,R01,237.54513294432624
Residential,R01,237.5451329442734
Residential,R01,237.54513294436296
Residential,R01,237.54513294429762
Residential,R01,237.5451329443202
Residential,R01,237.54513294436387
Residential,R01,237.54513294430748
Residential,R01,237.54513294421687
Residential,R01,237.54513294425377
Residential,R01,237.54513294427863
Residential,R01,237.54513294432073
Residential,R01,237.54513294424933
Residential,R01,237.5451329441666
Residential,R01,237.54513294433116
Residential,R01,237.54513294434406
Residential,R01,237.54513294424248
Residential,R01,237.5451329443137
Residential,R01,237.545132944291
Residential,R01,237.54513294429236
Residential,R01,237.54513294429864
Residential,R01,237.5451329441768
Residential,R01,237.54513294425425
Residential,R01,237.5451329442912
Residential,R01,237.54513294425078
Residential,R01,237.54513294421625
Residential,R01,237.54513294434395
Residential,R01,237.54513294431518
Residential,R01,237.4333028783112
Residential,R01,237.43330287826686
Residential,R01,237.43330287837568
Residential,R01,237.43330287824713
Residential,R01,237.43330287820487
Residential,R01,237.5231985576595
Residential,R01,237.5231985578293
Residential,R01,237.5231985577359
Residential,R01,237.52319855769883
Residential,R01,237.52319855771742
Residential,R01,237.63103255841116
Residential,R01,237.6310325583938
Residential,R01,237.6310325584582
Residential,R01,237.63103255846963
Residential,R01,237.63103255854276
Residential,R01,237.7193713045269
Residential,R01,237.7193713044638
Residential,R01,237.71937130444292
Residential,R01,237.71937130453477
Residential,R01,237.71937130456166
Residential,R01,237.7181924414282
Residential,R01,237.7181924415911
Residential,R01,237.71819244154486
Residential,R01,237.71819244155006
Residential,R01,237.71819244166355
Residential,R01,237.82074857419
Residential,R01,237.820748574086
Residential,R01,237.82074857412928
Residential,R01,237.820748574154
Residential,R01,237.82074857419968
Residential,R01,237.70998865858698
Residential,R01,237.70998865860818
Residential,R01,237.7099886586517
Residential,R01,237.70998865862828
Residential,R01,237.7099886586618
Residential,R01,238.0956829298235
Residential,R01,238.0956829297183
Residential,R01,238.09568292983792
Residential,R01,238.09568292971696
Residential,R01,238.09568292981453
Residential,R01,238.1807605452588
Residential,R01,238.1807605451731
Residential,R01,238.1807605452443
Residential,R01,238.18076054514094
Residential,R01,238.18076054520515
Residential,R01,238.07377435885633
Residential,R01,238.0737743587245
Residential,R01,238.07377435882788
Residential,R01,238.0737743587762
Residential,R01,238.0737743588813
Residential,R01,238.06283960849746
Residential,R01,238.0628396085486
Residential,R01,238.06283960862046
Residential,R01,238.062839608583
Residential,R01,238.06283960858127
Residential,R01,238.05980174906512
Residential,R01,238.059801749005
Residential,R01,238.05980174901765
Residential,R01,238.05980174893008
Residential,R01,238.0598017489401
Residential,R01,237.85836811553412
Residential,R01,237.8583681155694
Residential,R01,237.8583681155762
Residential,R01,237.8583681156076
Residential,R01,237.85836811564383
Residential,R01,237.66556692312363
Residential,R01,237.6655669230064
Residential,R01,237.66556692298835
Residential,R01,237.66556692299926
Residential,R01,237.66556692303155
Residential,R01,237.66933544233922
Residential,R01,237.66933544236085
Residential,R01,237.66933544237955
Residential,R01,237.66933544245737
Residential,R01,237.66933544238535
Residential,R01,237.85647578807715
Residential,R01,237.8564757880342
Residential,R01,237.8564757880679
Residential,R01,237.8564757881377
Residential,R01,237.85647578805145
Residential,R01,237.84021821808548
Residential,R01,237.84021821805425
Residential,R01,237.8402182179712
Residential,R01,237.84021821806567
Residential,R01,237.8402182178998
Residential,R01,237.09613231733155
Residential,R01,237.09613231740192
Residential,R01,237.09613231735236
Residential,R01,237.09613231735864
Residential,R01,237.09613231735855
Residential,R01,236.0989205290447
Residential,R01,236.09892052911167
Residential,R01,236.09892052894887
Residential,R01,236.09892052891064
Residential,R01,236.09892052897789
Residential,R01,234.69363320581166
Residential,R01,234.69363320584387
Residential,R01,234.6936332056985
Residential,R01,234.6936332058307
Residential,R01,234.6936332058967
Residential,R01,235.1004002001049
Residential,R01,235.10040019996816
Residential,R01,235.10040019994227
Residential,R01,235.10040020006505
Residential,R01,235.1004002000993
Residential,R01,235.72707202381295
Residential,R01,235.7270720238821
Residential,R01,235.7270720238827
Residential,R01,235.72707202391453
Residential,R01,235.7270720239586
Residential,R01,236.54276068881862
Residential,R01,236.5427606887144
Residential,R01,236.5427606887987
Residential,R01,236.54276068873526
Residential,R01,236.54276068887947
Residential,R01,237.54513294432994
Residential,R01,237.54513294427687
Residential,R01,237.54513294422182
Residential,R01,237.54513294423197
Residential,R01,237.54513294426212
Residential,R01,237.54513294423538
Residential,R01,237.5451329442823
Residential,R01,237.5451329442903
Residential,R01,237.54513294424106
Residential,R01,237.5451329442338
Residential,R01,237.5451329442167
Residential,R01,237.54513294413312
Residential,R01,237.54513294421315
Residential,R01,237.54513294421287
Residential,R01,237.54513294430123
Residential,R01,237.54513294434688
Residential,R01,237.5451329443053
Residential,R01,237.54513294428244
Residential,R01,237.54513294425405
Residential,R01,237.54513294426047
Residential,R02,236.28961448984126
Residential,R02,236.2896144897885
Residential,R02,236.28961448987775
Residential,R02,236.28961448981235
Residential,R02,236.28961448983497
Residential,R02,236.28961448987818
Residential,R02,236.2896144898221
Residential,R02,236.28961448973166
Residential,R02,236.28961448976784
Residential,R02,236.2896144897933
Residential,R02,236.289614489834
Residential,R02,236.28961448976386
Residential,R02,236.2896144896812
Residential,R02,236.28961448984623
Residential,R02,236.28961448985868
Residential,R02,236.28961448975716
Residential,R02,236.28961448982824
Residential,R02,236.28961448980579
Residential,R02,236.28961448980647
Residential,R02,236.28961448981318
Residential,R02,236.28961448969198
Residential,R02,236.28961448976872
Residential,R02,236.2896144898063
Residential,R02,236.28961448976494
Residential,R02,236.28961448973087
Residential,R02,236.2896144898586
Residential,R02,236.28961448982977
Residential,R02,236.13852400345957
Residential,R02,236.1385240034154
Residential,R02,236.13852400352434
Residential,R02,236.1385240033959
Residential,R02,236.13852400335355
Residential,R02,236.2610992932708
Residential,R02,236.26109929344102
Residential,R02,236.261099293347
Residential,R02,236.26109929331025
Residential,R02,236.26109929332986
Residential,R02,236.4066346159965
Residential,R02,236.4066346159801
Residential,R02,236.40663461604376
Residential,R02,236.40663461605578
Residential,R02,236.40663461612823
Residential,R02,236.5257972590216
Residential,R02,236.5257972589579
Residential,R02,236.52579725893688
Residential,R02,236.525797259029
Residential,R02,236.52579725905628
Residential,R02,236.5230998105106
Residential,R02,236.52309981067282
Residential,R02,236.52309981062677
Residential,R02,236.52309981063343
Residential,R02,236.52309981074583
Residential,R02,236.66101548281526
Residential,R02,236.66101548271138
Residential,R02,236.6610154827552
Residential,R02,236.66101548277922
Residential,R02,236.66101548282526
Residential,R02,236.50419648050317
Residential,R02,236.50419648052375
Residential,R02,236.5041964805672
Residential,R02,236.50419648054424
Residential,R02,236.50419648057766
Residential,R02,237.01748569998503
Residential,R02,237.01748569987964
Residential,R02,237.0174856999985
Residential,R02,237.01748569987743
Residential,R02,237.01748569997534
Residential,R02,237.12254324347228
Residential,R02,237.12254324338633
Residential,R02,237.12254324345764
Residential,R02,237.12254324335498
Residential,R02,237.12254324341887
Residential,R02,236.95665791699162
Residential,R02,236.95665791685929
Residential,R02,236.95665791696234
Residential,R02,236.95665791691047
Residential,R02,236.95665791701632
Residential,R02,236.9383960183542
Residential,R02,236.93839601840594
