Bus Type,Bus,Voltage (V)
Residential,R01,237.3238330741085
Residential,R01,237.3238330741721
Residential,R01,237.32383307410387
Residential,R01,237.3238330740852
Residential,R01,237.32383307411172
Residential,R01,237.32383307410603
Residential,R01,237.32383307414395
Residential,R01,237.3238330739883
Residential,R01,237.32383307407224
Residential,R01,237.32383307412417
Residential,R01,237.32383307424732
Residential,R01,237.3238330740202
Residential,R01,237.3238330741197
Residential,R01,237.32383307412164
Residential,R01,237.32383307403506
Residential,R01,237.32383307402264
Residential,R01,237.3238330740918
Residential,R01,237.3238330741312
Residential,R01,237.3238330741419
Residential,R01,237.32383307407088
Residential,R01,237.3238330740557
Residential,R01,237.32383307413613
Residential,R01,237.32383307411618
Residential,R01,237.32383307414955
Residential,R01,237.3238330741021
Residential,R01,237.32383307399104
Residential,R01,237.32383307400187
Residential,R01,237.18895346405094
Residential,R01,237.18895346413686
Residential,R01,237.188953464076
Residential,R01,237.18895346408718
Residential,R01,237.18895346406674
Residential,R01,237.29626745457767
Residential,R01,237.29626745449792
Residential,R01,237.2962674545554
Residential,R01,237.29626745453746
Residential,R01,237.29626745458353
Residential,R01,237.42616909767193
Residential,R01,237.42616909770564
Residential,R01,237.4261690976481
Residential,R01,237.42616909765178
Residential,R01,237.42616909762074
Residential,R01,237.53243157518875
Residential,R01,237.53243157513546
Residential,R01,237.5324315751371
Residential,R01,237.53243157525787
Residential,R01,237.5324315750747
Residential,R01,237.5321286882876
Residential,R01,237.53212868820623
Residential,R01,237.53212868833745
Residential,R01,237.53212868828408
Residential,R01,237.5321286883548
Residential,R01,237.65586318989557
Residential,R01,237.65586318981866
Residential,R01,237.65586318980223
Residential,R01,237.65586318986033
Residential,R01,237.6558631898529
Residential,R01,237.53010798066404
Residential,R01,237.5301079807372
Residential,R01,237.5301079806521
Residential,R01,237.5301079806702
Residential,R01,237.53010798062647
Residential,R01,237.99882623416033
Residential,R01,237.9988262342526
Residential,R01,237.9988262342364
Residential,R01,237.9988262341308
Residential,R01,237.99882623418696
Residential,R01,238.10956044213063
Residential,R01,238.1095604422057
Residential,R01,238.10956044221018
Residential,R01,238.10956044210985
Residential,R01,238.10956044210747
Residential,R01,238.0022183919433
Residential,R01,238.00221839195098
Residential,R01,238.00221839205525
Residential,R01,238.00221839191607
Residential,R01,238.0022183919546
Residential,R01,237.99251904312888
Residential,R01,237.99251904311055
Residential,R01,237.99251904306246
Residential,R01,237.99251904312908
Residential,R01,237.99251904321736
Residential,R01,237.9924238707788
Residential,R01,237.99242387079525
Residential,R01,237.99242387069117
Residential,R01,237.9924238706579
Residential,R01,237.99242387068378
Residential,R01,237.75523243635803
Residential,R01,237.75523243637863
Residential,R01,237.75523243634706
Residential,R01,237.75523243640345
Residential,R01,237.75523243632875
Residential,R01,237.5256638178314
Residential,R01,237.52566381789848
Residential,R01,237.52566381782057
Residential,R01,237.52566381783785
Residential,R01,237.52566381783987
Residential,R01,237.52653509002124
Residential,R01,237.52653509000868
Residential,R01,237.52653508996744
Residential,R01,237.5265350898932
Residential,R01,237.5265350901321
Residential,R01,237.74773654628902
Residential,R01,237.74773654632676
Residential,R01,237.7477365463779
Residential,R01,237.7477365463204
Residential,R01,237.74773654637815
Residential,R01,237.74570354575167
Residential,R01,237.7457035457422
Residential,R01,237.7457035457301
Residential,R01,237.745703545716
Residential,R01,237.74570354569474
Residential,R01,236.86244880785526
Residential,R01,236.86244880798188
Residential,R01,236.86244880792935
Residential,R01,236.86244880797543
Residential,R01,236.86244880791534
Residential,R01,235.63347460125155
Residential,R01,235.63347460126514
Residential,R01,235.63347460129526
Residential,R01,235.6334746013412
Residential,R01,235.63347460127795
Residential,R01,233.86538598459907
Residential,R01,233.86538598458748
Residential,R01,233.86538598459364
Residential,R01,233.86538598461843
Residential,R01,233.8653859846895
Residential,R01,234.3565091110669
Residential,R01,234.3565091110896
Residential,R01,234.35650911114894
Residential,R01,234.35650911095055
Residential,R01,234.35650911103264
Residential,R01,235.10782901550726
Residential,R01,235.1078290155825
Residential,R01,235.1078290154563
Residential,R01,235.10782901556718
Residential,R01,235.10782901560626
Residential,R01,236.10832174587867
Residential,R01,236.10832174588495
Residential,R01,236.10832174593273
Residential,R01,236.10832174589433
Residential,R01,236.10832174582177
Residential,R01,237.32383307409043
Residential,R01,237.32383307406684
Residential,R01,237.32383307412232
Residential,R01,237.32383307413488
Residential,R01,237.32383307406988
Residential,R01,237.3238330742349
Residential,R01,237.32383307412377
Residential,R01,237.32383307418874
Residential,R01,237.32383307420807
Residential,R01,237.32383307408423
Residential,R01,237.3238330741625
Residential,R01,237.32383307412067
Residential,R01,237.32383307415293
Residential,R01,237.32383307407773
Residential,R01,237.32383307407028
Residential,R01,237.32383307412553
Residential,R01,237.32383307410979
Residential,R01,237.32383307411416
Residential,R01,237.32383307412564
Residential,R01,237.32383307407383
Residential,R02,235.99313907747447
Residential,R02,235.99313907753853
Residential,R02,235.9931390774707
Residential,R02,235.99313907745199
Residential,R02,235.9931390774789
Residential,R02,235.99313907747273
Residential,R02,235.99313907751068
Residential,R02,235.9931390773557
Residential,R02,235.99313907743922
Residential,R02,235.99313907749044
Residential,R02,235.99313907761507
Residential,R02,235.99313907738693
Residential,R02,235.99313907748638
Residential,R02,235.993139077489
Residential,R02,235.99313907740225
Residential,R02,235.9931390773901
Residential,R02,235.99313907745898
Residential,R02,235.99313907749763
Residential,R02,235.99313907750826
Residential,R02,235.99313907743743
Residential,R02,235.99313907742263
Residential,R02,235.9931390775036
Residential,R02,235.9931390774828
Residential,R02,235.9931390775171
Residential,R02,235.99313907746892
Residential,R02,235.99313907735848
Residential,R02,235.99313907736823
Residential,R02,235.79529938539122
Residential,R02,235.79529938547685
Residential,R02,235.79529938541555
Residential,R02,235.79529938542674
Residential,R02,235.7952993854069
Residential,R02,235.9525734691585
Residential,R02,235.9525734690787
Residential,R02,235.95257346913505
Residential,R02,235.9525734691173
Residential,R02,235.9525734691648
