Bus Type,Bus,Phase,Current (A)
Residential,R01,0,377.34793167700025
Residential,R01,1,331.694371345719
Residential,R01,2,353.6544564671702
Industrial,I01,0,45.79340034008506
Industrial,I01,1,42.767095481053616
Industrial,I01,2,28.481271297769617
Commercial,C01,0,169.84860004806802
Commercial,C01,1,172.19310570613243
Commercial,C01,2,181.5818572645294
Residential,R01,0,377.34793167699365
Residential,R01,1,331.6943713457518
Residential,R01,2,353.6544564671703
Industrial,I01,0,45.79340034007815
Industrial,I01,1,42.76709548104714
Industrial,I01,2,28.481271297761225
Commercial,C01,0,169.84860004808232
Commercial,C01,1,172.19310570613783
Commercial,C01,2,181.58185726452822
Residential,R01,0,377.34793167700315
Residential,R01,1,331.6943713457332
Residential,R01,2,353.65445646718376
Industrial,I01,0,45.79340034005055
Industrial,I01,1,42.76709548101329
Industrial,I01,2,28.481271297729382
Commercial,C01,0,169.8486000481036
Commercial,C01,1,172.1931057061594
Commercial,C01,2,181.58185726454494
Residential,R01,0,377.34793167702855
Residential,R01,1,331.6943713457546
Residential,R01,2,353.654456467182
Industrial,I01,0,45.793400340055925
Industrial,I01,1,42.767095481018835
Industrial,I01,2,28.48127129773329
Commercial,C01,0,169.84860004808357
Commercial,C01,1,172.19310570614803
Commercial,C01,2,181.58185726453323
Residential,R01,0,377.3479316770092
Residential,R01,1,331.6943713457184
Residential,R01,2,353.65445646714994
Industrial,I01,0,45.79340034007139
Industrial,I01,1,42.767095481038794
Industrial,I01,2,28.481271297753228
Commercial,C01,0,169.84860004808635
Commercial,C01,1,172.19310570614223
Commercial,C01,2,181.58185726453414
Residential,R01,0,377.3479316770129
Residential,R01,1,331.69437134573485
Residential,R01,2,353.6544564671445
Industrial,I01,0,45.793400340067016
Industrial,I01,1,42.767095481033024
Industrial,I01,2,28.481271297745746
Commercial,C01,0,169.84860004809076
Commercial,C01,1,172.19310570614832
Commercial,C01,2,181.58185726454536
Residential,R01,0,377.3479316769944
Residential,R01,1,331.6943713457014
Residential,R01,2,353.65445646717336
Industrial,I01,0,45.79340034008171
Industrial,I01,1,42.76709548105119
Industrial,I01,2,28.48127129776416
Commercial,C01,0,169.8486000480811
Commercial,C01,1,172.19310570613214
Commercial,C01,2,181.5818572645262
Residential,R01,0,377.3479316769897
Residential,R01,1,331.6943713457445
Residential,R01,2,353.6544564671696
Industrial,I01,0,45.793400340088375
Industrial,I01,1,42.767095481058526
Industrial,I01,2,28.481271297775255
Commercial,C01,0,169.8486000480724
Commercial,C01,1,172.1931057061304
Commercial,C01,2,181.5818572645262
Residential,R01,0,377.34793167699587
Residential,R01,1,331.694371345725
Residential,R01,2,353.6544564671472
Industrial,I01,0,45.79340034007028
Industrial,I01,1,42.76709548103498
Industrial,I01,2,28.481271297747522
Commercial,C01,0,169.848600048083
Commercial,C01,1,172.193105706149
Commercial,C01,2,181.5818572645314
Residential,R01,0,377.3479316770063
Residential,R01,1,331.69437134575406
Residential,R01,2,353.65445646718587
Industrial,I01,0,45.793400340057374
Industrial,I01,1,42.76709548102008
Industrial,I01,2,28.48127129773329
Commercial,C01,0,169.84860004808385
Commercial,C01,1,172.1931057061443
Commercial,C01,2,181.58185726453095
Residential,R01,0,377.3479316769786
Residential,R01,1,331.6943713457134
Residential,R01,2,353.65445646714755
Industrial,I01,0,45.79340034008913
Industrial,I01,1,42.76709548105931
Industrial,I01,2,28.481271297774207
Commercial,C01,0,169.8486000480722
Commercial,C01,1,172.19310570613348
Commercial,C01,2,181.58185726451902
Residential,R01,0,377.3479316770019
Residential,R01,1,331.69437134572655
Residential,R01,2,353.65445646715995
Industrial,I01,0,45.793400340064395
Industrial,I01,1,42.767095481027646
Industrial,I01,2,28.481271297743927
Commercial,C01,0,169.8486000480882
Commercial,C01,1,172.19310570614698
Commercial,C01,2,181.58185726452308
Residential,R01,0,377.3479316769828
Residential,R01,1,331.69437134572127
Residential,R01,2,353.65445646715074
Industrial,I01,0,45.79340034008804
Industrial,I01,1,42.767095481057744
Industrial,I01,2,28.481271297774594
Commercial,C01,0,169.8486000480747
Commercial,C01,1,172.19310570612907
Commercial,C01,2,181.5818572645253
Residential,R01,0,377.3479316770058
Residential,R01,1,331.694371345735
Residential,R01,2,353.65445646716927
Industrial,I01,0,45.793400340075344
Industrial,I01,1,42.767095481045345
Industrial,I01,2,28.481271297760316
Commercial,C01,0,169.84860004807368
Commercial,C01,1,172.19310570613487
Commercial,C01,2,181.58185726453183
Residential,R01,0,377.3479316769975
Residential,R01,1,331.6943713457468
Residential,R01,2,353.6544564671512
Industrial,I01,0,45.79340034007643
Industrial,I01,1,42.76709548104464
Industrial,I01,2,28.481271297760316
Commercial,C01,0,169.84860004807624
Commercial,C01,1,172.19310570613482
Commercial,C01,2,181.5818572645289
Residential,R01,0,377.3479316770238
Residential,R01,1,331.6943713457337
Residential,R01,2,353.6544564671748
Industrial,I01,0,45.793400340055165
Industrial,I01,1,42.76709548101914
Industrial,I01,2,28.48127129773027
Commercial,C01,0,169.84860004809147
Commercial,C01,1,172.1931057061443
Commercial,C01,2,181.58185726453232
Residential,R01,0,377.34793167700457
Residential,R01,1,331.6943713457453
Residential,R01,2,353.6544564671713
Industrial,I01,0,45.7934003400571
Industrial,I01,1,42.76709548101859
Industrial,I01,2,28.481271297733226
Commercial,C01,0,169.84860004808658
Commercial,C01,1,172.19310570614837
Commercial,C01,2,181.58185726453323
Residential,R01,0,377.34793167700064
Residential,R01,1,331.694371345727
Residential,R01,2,353.6544564671522
Industrial,I01,0,45.79340034007058
Industrial,I01,1,42.7670954810363
Industrial,I01,2,28.481271297750546
Commercial,C01,0,169.8486000480903
Commercial,C01,1,172.1931057061474
Commercial,C01,2,181.5818572645402
Residential,R01,0,377.3479316770028
Residential,R01,1,331.6943713457301
Residential,R01,2,353.6544564671835
Industrial,I01,0,45.79340034005779
Industrial,I01,1,42.767095481019844
Industrial,I01,2,28.481271297735766
Commercial,C01,0,169.8486000480867
Commercial,C01,1,172.1931057061402
Commercial,C01,2,181.58185726454286
Residential,R01,0,377.34793167700633
Residential,R01,1,331.6943713457236
