Bus Type,Bus,Phase,Current (A)
Residential,R01,0,372.5131519848201
Residential,R01,1,371.68104544559935
Residential,R01,2,370.4976099883908
Industrial,I01,0,56.302375078004
Industrial,I01,1,56.24385020521414
Industrial,I01,2,56.122722414603594
Commercial,C01,0,91.2492768264029
Commercial,C01,1,91.12144914975187
Commercial,C01,2,91.13945116286908
Residential,R01,0,372.51315198484474
Residential,R01,1,371.68104544565523
Residential,R01,2,370.4976099884267
Industrial,I01,0,56.30237507800512
Industrial,I01,1,56.24385020521592
Industrial,I01,2,56.12272241460475
Commercial,C01,0,91.24927682639637
Commercial,C01,1,91.1214491497448
Commercial,C01,2,91.13945116286816
Residential,R01,0,372.5131519848216
Residential,R01,1,371.6810454456005
Residential,R01,2,370.4976099884086
Industrial,I01,0,56.30237507800314
Industrial,I01,1,56.24385020521547
Industrial,I01,2,56.1227224146048
Commercial,C01,0,91.24927682640188
Commercial,C01,1,91.12144914975475
Commercial,C01,2,91.13945116286783
Residential,R01,0,372.51315198482575
Residential,R01,1,371.6810454456038
Residential,R01,2,370.4976099883859
Industrial,I01,0,56.302375078003784
Industrial,I01,1,56.24385020521502
Industrial,I01,2,56.122722414606294
Commercial,C01,0,91.24927682640089
Commercial,C01,1,91.12144914973216
Commercial,C01,2,91.13945116287066
Residential,R01,0,372.51315198483553
Residential,R01,1,371.6810454456005
Residential,R01,2,370.4976099884338
Industrial,I01,0,56.30237507800517
Industrial,I01,1,56.24385020521498
Industrial,I01,2,56.122722414602244
Commercial,C01,0,91.24927682639988
Commercial,C01,1,91.12144914975205
Commercial,C01,2,91.13945116285929
Residential,R01,0,372.51315198482195
Residential,R01,1,371.6810454456056
Residential,R01,2,370.49760998841396
Industrial,I01,0,56.30237507800555
Industrial,I01,1,56.243850205213214
Industrial,I01,2,56.12272241460447
Commercial,C01,0,91.24927682639988
Commercial,C01,1,91.12144914974819
Commercial,C01,2,91.13945116287962
Residential,R01,0,372.5131519848223
Residential,R01,1,371.6810454456073
Residential,R01,2,370.49760998844357
Industrial,I01,0,56.30237507800555
Industrial,I01,1,56.24385020521411
Industrial,I01,2,56.12272241460726
Commercial,C01,0,91.2492768263888
Commercial,C01,1,91.12144914975907
Commercial,C01,2,91.13945116286826
Residential,R01,0,372.51315198484406
Residential,R01,1,371.68104544556087
Residential,R01,2,370.49760998842885
Industrial,I01,0,56.30237507800437
Industrial,I01,1,56.24385020521591
Industrial,I01,2,56.12272241460302
Commercial,C01,0,91.2492768263888
Commercial,C01,1,91.12144914975036
Commercial,C01,2,91.13945116285845
Residential,R01,0,372.51315198483434
Residential,R01,1,371.6810454455988
Residential,R01,2,370.4976099884276
Industrial,I01,0,56.30237507800517
Industrial,I01,1,56.243850205215935
Industrial,I01,2,56.122722414604944
Commercial,C01,0,91.24927682639938
Commercial,C01,1,91.12144914973796
Commercial,C01,2,91.13945116287069
Residential,R01,0,372.51315198483155
Residential,R01,1,371.68104544561174
Residential,R01,2,370.4976099884194
Industrial,I01,0,56.30237507800458
Industrial,I01,1,56.24385020521411
Industrial,I01,2,56.12272241460157
Commercial,C01,0,91.24927682639688
Commercial,C01,1,91.1214491497391
Commercial,C01,2,91.13945116287067
Residential,R01,0,372.51315198480967
Residential,R01,1,371.68104544561294
Residential,R01,2,370.497609988489
Industrial,I01,0,56.30237507800335
Industrial,I01,1,56.24385020521592
Industrial,I01,2,56.122722414605036
Commercial,C01,0,91.24927682639634
Commercial,C01,1,91.1214491497379
Commercial,C01,2,91.13945116286902
Residential,R01,0,372.5131519848432
Residential,R01,1,371.6810454455596
Residential,R01,2,370.497609988391
Industrial,I01,0,56.30237507800394
Industrial,I01,1,56.24385020521508
Industrial,I01,2,56.12272241460321
Commercial,C01,0,91.2492768263979
Commercial,C01,1,91.12144914975389
Commercial,C01,2,91.1394511628756
Residential,R01,0,372.51315198481433
Residential,R01,1,371.6810454455906
Residential,R01,2,370.49760998839434
