Bus Type,Bus,Voltage (V)
Residential,R01,236.94652449105473
Residential,R01,236.94652449111535
Residential,R01,236.94652449103484
Residential,R01,236.94652449098464
Residential,R01,236.9465244909669
Residential,R01,236.94652449097126
Residential,R01,236.94652449097816
Residential,R01,236.94652449111365
Residential,R01,236.94652449104402
Residential,R01,236.94652449103447
Residential,R01,236.94652449104018
Residential,R01,236.94652449103322
Residential,R01,236.9465244910434
Residential,R01,236.94652449103575
Residential,R01,236.94652449102801
Residential,R01,236.94652449097964
Residential,R01,236.94652449098822
Residential,R01,236.9465244909568
Residential,R01,236.94652449099692
Residential,R01,236.94652449102585
Residential,R01,236.94652449096364
Residential,R01,236.94652449105476
Residential,R01,236.8194648807735
Residential,R01,236.8194648808082
Residential,R01,236.81946488084094
Residential,R01,236.81946488078114
Residential,R01,236.81946488077904
Residential,R01,236.92623108508545
Residential,R01,236.92623108499438
Residential,R01,236.92623108520124
Residential,R01,236.92623108499401
Residential,R01,236.92623108502457
Residential,R01,237.05251816005193
Residential,R01,237.052518159961
Residential,R01,237.05251816003084
Residential,R01,237.05251816001336
Residential,R01,237.05251816008678
Residential,R01,237.15623793765374
Residential,R01,237.15623793759792
Residential,R01,237.15623793768037
Residential,R01,237.1562379374812
Residential,R01,237.1562379376174
Residential,R01,237.1499053812561
Residential,R01,237.14990538129246
Residential,R01,237.1499053812906
Residential,R01,237.14990538128433
Residential,R01,237.14990538126014
Residential,R01,237.26021023481744
Residential,R01,237.26021023474718
Residential,R01,237.26021023487124
Residential,R01,237.26021023473876
Residential,R01,237.26021023474863
Residential,R01,237.10849282144022
Residential,R01,237.10849282140964
Residential,R01,237.10849282144306
Residential,R01,237.10849282145023
Residential,R01,237.1084928213916
Residential,R01,237.52414705145105
Residential,R01,237.52414705154484
Residential,R01,237.52414705156622
Residential,R01,237.52414705152185
Residential,R01,237.52414705162354
Residential,R01,237.5894297968702
Residential,R01,237.58942979687598
Residential,R01,237.58942979686066
Residential,R01,237.58942979699623
Residential,R01,237.58942979693418
Residential,R01,237.4303460218438
Residential,R01,237.43034602189897
Residential,R01,237.4303460219153
Residential,R01,237.43034602191403
Residential,R01,237.4303460218776
Residential,R01,237.41037543341835
Residential,R01,237.41037543345175
Residential,R01,237.41037543349285
Residential,R01,237.41037543342884
Residential,R01,237.4103754333896
Residential,R01,237.4107942090135
Residential,R01,237.41079420886294
Residential,R01,237.41079420901025
Residential,R01,237.41079420894621
Residential,R01,237.41079420892342
Residential,R01,237.17116732305655
Residential,R01,237.17116732301912
Residential,R01,237.17116732299434
Residential,R01,237.1711673229152
Residential,R01,237.1711673229872
Residential,R01,236.94668710202916
Residential,R01,236.94668710216857
Residential,R01,236.9466871021235
Residential,R01,236.9466871020341
Residential,R01,236.94668710209734
Residential,R01,236.96274891924116
Residential,R01,236.96274891921496
Residential,R01,236.96274891930904
Residential,R01,236.96274891926947
Residential,R01,236.96274891932768
Residential,R01,237.19378320018993
Residential,R01,237.1937832001657
Residential,R01,237.19378320011862
Residential,R01,237.19378320023668
Residential,R01,237.19378320027485
Residential,R01,237.16382801822078
Residential,R01,237.16382801827515
Residential,R01,237.1638280183164
Residential,R01,237.1638280181605
Residential,R01,237.16382801816385
Residential,R01,236.30383182620582
Residential,R01,236.3038318261282
Residential,R01,236.30383182621446
Residential,R01,236.30383182618937
Residential,R01,236.3038318261329
Residential,R01,235.17864873393742
Residential,R01,235.17864873397446
Residential,R01,235.17864873401152
Residential,R01,235.17864873396604
Residential,R01,235.17864873403423
Residential,R01,233.59591408533728
Residential,R01,233.5959140854285
Residential,R01,233.59591408529403
Residential,R01,233.59591408534155
Residential,R01,233.59591408532265
Residential,R01,234.08943962581725
Residential,R01,234.08943962594245
Residential,R01,234.08943962588432
Residential,R01,234.08943962590794
Residential,R01,234.08943962586577
Residential,R01,234.840898278419
Residential,R01,234.84089827841507
Residential,R01,234.840898278393
Residential,R01,234.8408982785181
Residential,R01,234.84089827849073
Residential,R01,235.7873747733736
Residential,R01,235.78737477343304
Residential,R01,235.78737477343884
Residential,R01,235.78737477341912
Residential,R01,235.7873747733586
Residential,R01,236.9465244910684
Residential,R01,236.946524491108
Residential,R01,236.94652449104657
Residential,R01,236.94652449093772
Residential,R01,236.9465244910448
Residential,R01,236.9465244910511
Residential,R01,236.94652449097308
Residential,R01,236.94652449096722
Residential,R01,236.9465244910254
Residential,R01,236.94652449106044
Residential,R01,236.94652449100082
Residential,R01,236.9465244910266
Residential,R01,236.94652449103626
Residential,R01,236.9465244909434
Residential,R01,236.94652449105484
Residential,R01,236.94652449098547
Residential,R01,236.94652449098615
Residential,R01,236.946524491014
Residential,R01,236.94652449103677
Residential,R01,236.94652449094522
Residential,R02,236.05186524983444
Residential,R02,236.05186524989495
Residential,R02,236.05186524981534
Residential,R02,236.05186524976418
Residential,R02,236.05186524974675
Residential,R02,236.05186524975036
Residential,R02,236.05186524975855
Residential,R02,236.05186524989367
Residential,R02,236.0518652498235
Residential,R02,236.05186524981409
Residential,R02,236.05186524982042
Residential,R02,236.05186524981224
Residential,R02,236.05186524982307
Residential,R02,236.0518652498156
Residential,R02,236.0518652498077
Residential,R02,236.0518652497591
Residential,R02,236.0518652497685
Residential,R02,236.05186524973726
Residential,R02,236.051865249777
Residential,R02,236.0518652498067
Residential,R02,236.05186524974303
Residential,R02,236.0518652498347
Residential,R02,235.90391517597251
Residential,R02,235.90391517600736
Residential,R02,235.90391517603987
Residential,R02,235.90391517598061
Residential,R02,235.90391517597766
Residential,R02,236.0323748123519
Residential,R02,236.03237481226125
Residential,R02,236.03237481246808
Residential,R02,236.03237481226037
Residential,R02,236.03237481229132
Residential,R02,236.18209793958363
Residential,R02,236.18209793949245
Residential,R02,236.18209793956245
Residential,R02,236.1820979395454
Residential,R02,236.18209793961861
Residential,R02,236.30518524636815
Residential,R02,236.30518524631177
Residential,R02,236.3051852463949
Residential,R02,236.30518524619544
Residential,R02,236.30518524633146
Residential,R02,236.2933956293124
Residential,R02,236.29339562934842
Residential,R02,236.2933956293472
Residential,R02,236.2933956293406
Residential,R02,236.29339562931625
Residential,R02,236.41663109440276
Residential,R02,236.41663109433262
Residential,R02,236.41663109445653
Residential,R02,236.41663109432474
Residential,R02,236.41663109433424
Residential,R02,236.2163854965372
Residential,R02,236.21638549650643
Residential,R02,236.21638549654023
Residential,R02,236.21638549654688
Residential,R02,236.21638549648878
Residential,R02,236.6774912225863
Residential,R02,236.67749122267938
Residential,R02,236.67749122270072
Residential,R02,236.67749122265647
Residential,R02,236.67749122275768
Residential,R02,236.72336978633223
Residential,R02,236.72336978633837
Residential,R02,236.7233697863224
Residential,R02,236.72336978645848
Residential,R02,236.72336978639606
Residential,R02,236.49738887602913
Residential,R02,236.49738887608558
Residential,R02,236.4973888761014
Residential,R02,236.49738887609996
Residential,R02,236.4973888760634
Residential,R02,236.46639059946133
Residential,R02,236.46639059949507
Residential,R02,236.4663905995363
Residential,R02,236.4663905994722
Residential,R02,236.46639059943323
Residential,R02,236.4672962808885
Residential,R02,236.46729628073746
Residential,R02,236.46729628088465
Residential,R02,236.46729628082096
Residential,R02,236.46729628079802
Residential,R02,236.17946711084704
Residential,R02,236.17946711080953
Residential,R02,236.17946711078463
Residential,R02,236.17946711070644
Residential,R02,236.17946711077798
Residential,R02,235.91422934814838
Residential,R02,235.91422934828884
Residential,R02,235.91422934824348
Residential,R02,235.91422934815404
Residential,R02,235.91422934821782
Residential,R02,235.9438854385894
Residential,R02,235.9438854385635
Residential,R02,235.9438854386578
Residential,R02,235.94388543861803
Residential,R02,235.94388543867652
Residential,R02,236.22738092996107
Residential,R02,236.22738092993737
Residential,R02,236.22738092989022
Residential,R02,236.22738093000825
Residential,R02,236.22738093004685
Residential,R02,236.17232054035037
Residential,R02,236.17232054040505
Residential,R02,236.17232054044675
Residential,R02,236.1723205402903
Residential,R02,236.17232054029375
Residential,R02,235.1546441042778
Residential,R02,235.15464410420003
Residential,R02,235.1546441042858
Residential,R02,235.15464410426046
Residential,R02,235.1546441042049
Residential,R02,233.85297837317418
Residential,R02,233.85297837321102
Residential,R02,233.85297837324813
Residential,R02,233.85297837320385
Residential,R02,233.8529783732705
Residential,R02,232.00583725181446
Residential,R02,232.00583725190566
Residential,R02,232.0058372517705
Residential,R02,232.00583725181897
Residential,R02,232.00583725180036
Residential,R02,232.6224417643255
Residential,R02,232.62244176444972
Residential,R02,232.62244176439276
Residential,R02,232.62244176441513
Residential,R02,232.62244176437423
Residential,R02,233.55375107739644
Residential,R02,233.55375107739286
Residential,R02,233.5537510773709
Residential,R02,233.55375107749504
Residential,R02,233.5537510774686
Residential,R02,234.6824340183659
Residential,R02,234.68243401842554
Residential,R02,234.68243401843097
Residential,R02,234.6824340184126
Residential,R02,234.6824340183516
Residential,R02,236.05186524984836
Residential,R02,236.05186524988756
Residential,R02,236.05186524982656
Residential,R02,236.05186524971734
Residential,R02,236.0518652498239
Residential,R02,236.05186524983117
Residential,R02,236.05186524975295
Residential,R02,236.05186524974656
Residential,R02,236.0518652498056
Residential,R02,236.05186524984057
Residential,R02,236.0518652497803
Residential,R02,236.05186524980596
Residential,R02,236.05186524981613
Residential,R02,236.0518652497233
Residential,R02,236.0518652498346
Residential,R02,236.05186524976554
Residential,R02,236.05186524976617
Residential,R02,236.05186524979322
Residential,R02,236.05186524981656
Residential,R02,236.0518652497255
Residential,R03,235.1570873094271
Residential,R03,235.1570873094877
Residential,R03,235.15708730940867
Residential,R03,235.15708730935685
Residential,R03,235.15708730933966
Residential,R03,235.15708730934256
Residential,R03,235.15708730935216
Residential,R03,235.15708730948646
Residential,R03,235.15708730941608
Residential,R03,235.15708730940668
Residential,R03,235.15708730941398
Residential,R03,235.1570873094044
Residential,R03,235.15708730941572
Residential,R03,235.15708730940844
Residential,R03,235.1570873094006
Residential,R03,235.15708730935216
Residential,R03,235.15708730936197
Residential,R03,235.15708730933048
Residential,R03,235.15708730936973
Residential,R03,235.1570873094006
Residential,R03,235.1570873093357
Residential,R03,235.15708730942734
Residential,R03,234.9882379010575
Residential,R03,234.98823790109248
Residential,R03,234.9882379011244
Residential,R03,234.98823790106601
Residential,R03,234.98823790106258
Residential,R03,235.138396984582
Residential,R03,235.13839698449155
Residential,R03,235.13839698469855
Residential,R03,235.13839698448996
Residential,R03,235.13839698452168
Residential,R03,235.31156418334
Residential,R03,235.3115641832483
Residential,R03,235.31156418331858
Residential,R03,235.31156418330198
Residential,R03,235.31156418337488
Residential,R03,235.45402572343116
Residential,R03,235.454025723374
Residential,R03,235.4540257234581
Residential,R03,235.454025723258
Residential,R03,235.45402572339424
Residential,R03,235.4367802966713
Residential,R03,235.43678029670718
Residential,R03,235.4367802967064
Residential,R03,235.43678029669937
Residential,R03,235.4367802966751
Residential,R03,235.57295706235067
Residential,R03,235.57295706228103
Residential,R03,235.57295706240498
Residential,R03,235.5729570622735
Residential,R03,235.5729570622822
Residential,R03,235.32418202281755
Residential,R03,235.32418202278697
Residential,R03,235.3241820228206
Residential,R03,235.32418202282713
Residential,R03,235.3241820227692
Residential,R03,235.83079023070675
Residential,R03,235.8307902307993
Residential,R03,235.83079023082064
Residential,R03,235.83079023077659
Residential,R03,235.83079023087723
Residential,R03,235.85729379861723
Residential,R03,235.85729379862394
Residential,R03,235.85729379860723
Residential,R03,235.85729379874422
Residential,R03,235.85729379868133
Residential,R03,235.56443261269158
Residential,R03,235.56443261274893
Residential,R03,235.56443261276442
Residential,R03,235.5644326127627
Residential,R03,235.56443261272608
Residential,R03,235.52241135920733
Residential,R03,235.5224113592411
Residential,R03,235.52241135928287
Residential,R03,235.52241135921892
Residential,R03,235.52241135918024
Residential,R03,235.52380365096838
