Bus Type,Bus,Voltage (V)
Residential,R01,237.32383307422333
Residential,R01,237.32383307417035
Residential,R01,237.32383307414216
Residential,R01,237.32383307409998
Residential,R01,237.3238330741146
Residential,R01,237.32383307421495
Residential,R01,237.32383307408966
Residential,R01,237.32383307411894
Residential,R01,237.32383307403052
Residential,R01,237.3238330741943
Residential,R01,237.3238330740619
Residential,R01,237.3238330741013
Residential,R01,237.3238330741529
Residential,R01,237.3238330740504
Residential,R01,237.32383307410095
Residential,R01,237.32383307404788
Residential,R01,237.3238330741141
Residential,R01,237.32383307418124
Residential,R01,237.32383307407122
Residential,R01,237.32383307408134
Residential,R01,237.32383307413428
Residential,R01,237.32383307403148
Residential,R01,237.18895346397403
Residential,R01,237.18895346402718
Residential,R01,237.1889534640462
Residential,R01,237.18895346398625
Residential,R01,237.18895346404213
Residential,R01,237.29626745454627
Residential,R01,237.2962674545626
Residential,R01,237.2962674545289
Residential,R01,237.29626745444799
Residential,R01,237.29626745459348
Residential,R01,237.42616909761693
Residential,R01,237.42616909759985
Residential,R01,237.42616909762467
Residential,R01,237.4261690977201
Residential,R01,237.4261690976604
Residential,R01,237.5324315752077
Residential,R01,237.53243157516314
Residential,R01,237.53243157522382
Residential,R01,237.53243157524795
Residential,R01,237.5324315752748
Residential,R01,237.53212868839756
Residential,R01,237.532128688373
Residential,R01,237.53212868842607
Residential,R01,237.53212868834535
Residential,R01,237.53212868823906
Residential,R01,237.6558631897341
Residential,R01,237.65586318971236
Residential,R01,237.65586318978168
Residential,R01,237.65586318977583
Residential,R01,237.65586318980073
Residential,R01,237.53010798070835
Residential,R01,237.53010798063175
Residential,R01,237.53010798073421
Residential,R01,237.53010798068019
Residential,R01,237.53010798062851
Residential,R01,237.99882623413257
Residential,R01,237.99882623409172
Residential,R01,237.99882623413023
Residential,R01,237.99882623418065
Residential,R01,237.9988262340904
Residential,R01,238.10956044207586
Residential,R01,238.10956044210428
Residential,R01,238.10956044218105
Residential,R01,238.10956044218452
Residential,R01,238.10956044215644
Residential,R01,238.0022183919779
Residential,R01,238.00221839201217
Residential,R01,238.00221839201117
Residential,R01,238.00221839199654
Residential,R01,238.00221839200756
Residential,R01,237.99251904306973
Residential,R01,237.99251904312624
Residential,R01,237.99251904311004
Residential,R01,237.9925190430971
Residential,R01,237.99251904308412
Residential,R01,237.992423870711
Residential,R01,237.99242387074264
Residential,R01,237.9924238707742
Residential,R01,237.99242387069842
Residential,R01,237.99242387071138
Residential,R01,237.75523243637986
Residential,R01,237.75523243640754
Residential,R01,237.75523243639762
Residential,R01,237.7552324363464
Residential,R01,237.7552324364048
Residential,R01,237.52566381777365
Residential,R01,237.52566381789
Residential,R01,237.52566381789717
Residential,R01,237.52566381793886
Residential,R01,237.52566381792374
Residential,R01,237.5265350898918
Residential,R01,237.5265350900299
Residential,R01,237.5265350899628
Residential,R01,237.5265350900094
Residential,R01,237.5265350900798
Residential,R01,237.7477365464174
Residential,R01,237.74773654631846
Residential,R01,237.74773654632838
Residential,R01,237.74773654636405
Residential,R01,237.7477365462115
Residential,R01,237.74570354560396
Residential,R01,237.7457035457286
Residential,R01,237.74570354582272
Residential,R01,237.74570354583497
Residential,R01,237.74570354576423
Residential,R01,236.86244880802943
Residential,R01,236.8624488080055
Residential,R01,236.86244880782476
Residential,R01,236.86244880787316
Residential,R01,236.86244880789064
Residential,R01,235.6334746013352
Residential,R01,235.63347460134278
Residential,R01,235.63347460133502
Residential,R01,235.63347460125635
Residential,R01,235.633474601282
Residential,R01,233.86538598455127
Residential,R01,233.8653859846649
Residential,R01,233.86538598464568
Residential,R01,233.86538598461973
Residential,R01,233.86538598460885
Residential,R01,234.3565091110774
Residential,R01,234.35650911107805
Residential,R01,234.35650911108365
Residential,R01,234.35650911109346
Residential,R01,234.35650911111668
Residential,R01,235.1078290155041
Residential,R01,235.10782901547512
Residential,R01,235.1078290155155
Residential,R01,235.1078290155178
Residential,R01,235.10782901542984
Residential,R01,236.10832174582453
Residential,R01,236.1083217459348
Residential,R01,236.108321745798
Residential,R01,236.1083217459057
Residential,R01,236.10832174583624
Residential,R01,237.3238330741395
Residential,R01,237.323833074094
Residential,R01,237.32383307416526
Residential,R01,237.3238330742001
Residential,R01,237.32383307415787
Residential,R01,237.32383307416185
Residential,R01,237.32383307412675
Residential,R01,237.3238330740882
Residential,R01,237.32383307404655
Residential,R01,237.32383307413963
Residential,R01,237.3238330740622
Residential,R01,237.32383307402472
Residential,R01,237.3238330741164
Residential,R01,237.32383307417908
Residential,R01,237.32383307405306
Residential,R01,237.32383307408122
Residential,R01,237.3238330741026
Residential,R01,237.3238330741661
Residential,R01,237.32383307416086
Residential,R01,237.323833074048
Residential,R02,235.99313907759046
Residential,R02,235.99313907753742
Residential,R02,235.99313907750948
Residential,R02,235.99313907746676
Residential,R02,235.993139077482
Residential,R02,235.99313907758196
Residential,R02,235.9931390774564
Residential,R02,235.99313907748535
Residential,R02,235.99313907739756
Residential,R02,235.99313907756203
Residential,R02,235.99313907742868
Residential,R02,235.99313907746765
Residential,R02,235.99313907752062
Residential,R02,235.99313907741805
Residential,R02,235.99313907746887
Residential,R02,235.99313907741433
Residential,R02,235.9931390774816
Residential,R02,235.993139077548
Residential,R02,235.99313907743814
Residential,R02,235.99313907744815
Residential,R02,235.99313907750107
Residential,R02,235.9931390773984
Residential,R02,235.79529938531311
Residential,R02,235.7952993853666
Residential,R02,235.7952993853849
Residential,R02,235.7952993853254
Residential,R02,235.79529938538147
Residential,R02,235.95257346912675
Residential,R02,235.95257346914374
Residential,R02,235.95257346910915
Residential,R02,235.95257346902875
Residential,R02,235.95257346917336
Residential,R02,236.14304232548162
Residential,R02,236.14304232546417
Residential,R02,236.14304232548915
Residential,R02,236.14304232558428
Residential,R02,236.14304232552476
Residential,R02,236.29885159276756
Residential,R02,236.2988515927224
Residential,R02,236.2988515927833
Residential,R02,236.29885159280707
Residential,R02,236.29885159283393
Residential,R02,236.2985470282413
Residential,R02,236.29854702821584
Residential,R02,236.29854702826987
