Bus,Max Voltage,Min Voltage
R01,235.94677290545033,231.32735581845967
R02,235.13344900348991,229.80596514644975
R03,234.3201144364196,228.28430298227096
R04,233.5660449297675,226.92751826840745
R05,233.00033456108022,225.8538278193087
R06,232.4346490782395,224.7801417856689
R07,232.0908606638209,224.34046282983525
R08,231.74708258325722,223.90083895658094
R09,231.40322301545893,223.4616342803131
R10,231.24624399308203,223.42775466093855
R11,234.0506382741337,227.53426848620865
R12,232.7231736191764,225.80962046362055
R13,231.9228668570394,224.6941715900641
R14,231.16001248627646,223.58225242446446
R15,230.06985155609732,220.80869817427404
R16,231.56927780294555,222.30673985382762
R17,230.8492170536182,221.8811087916391
R18,230.4548846124408,221.29301788437294
I01,237.59462587882453,230.8419412037917
I02,234.1996404095404,225.55235742970356
C01,236.25737657092077,229.9025251410202
C02,235.28202212823405,227.98612305242875
C03,234.30706180266,226.07297313935211
C04,233.80928396200005,225.41081110545397
C05,233.31916879329307,224.75008058922782
C06,233.04647552376912,224.52744525965412
C07,232.77383526291086,224.30515564436996
C08,232.50108698274826,224.08374771378234
C09,232.3273841633582,224.4055602810403
C10,233.1809952815528,223.5999165328787
C11,232.4053430046544,223.1120797707382
C12,231.99551893789055,220.7901160367099
C13,231.99551893789055,220.7901160367099
C14,232.69975067680667,220.69860083564222
C15,232.58133259501767,223.80081099841408
C16,232.19300538586072,223.70188025066287
C17,231.6704870446222,220.79775601029766
C18,232.46823306966652,223.18246040530354
C19,232.16853487287113,222.25361385720745
C20,232.16124476223052,223.5004336214848
