Bus,Max Voltage,Min Voltage
R01,238.10956044221018,233.86538598458748
R02,237.1484120642104,230.92716076596528
R03,236.1872805797421,227.9893803391889
R04,235.29571603306033,225.25726781694894
R05,234.65022190857172,223.28583751676464
R06,234.0047550214846,221.31468424175875
R07,233.61752639183283,220.126818543574
R08,233.23030770308586,218.93905730140727
R09,232.84326305348097,217.75191672900922
R10,232.62118725528623,217.0695215452076
R11,235.89775410072525,227.13440047613864
R12,234.27003603924035,222.07291363997385
R13,233.24455696501155,218.89043967803082
R14,232.2193697954186,215.71022762360926
R15,231.19438904912238,212.53206878791053
R16,233.08289429523694,218.51181355974887
R17,232.25422095635412,215.9442434485666
R18,231.82868359602426,214.62605900817127
I01,238.82403139986036,232.9764909075679
I02,236.38758840734852,219.9141334570042
C01,238.8681069724487,232.10397243604592
C02,238.0897458387537,227.2313321735861
C03,237.31139324554,222.35913022679222
C04,236.94765828501858,220.0771063195812
C05,236.58392520522713,217.795179124043
C06,236.43102309493725,216.84533339886212
C07,236.27812131246284,215.89550226121028
C08,236.12520519424604,214.94558995571631
C09,236.07426680802482,214.62979029874856
C10,236.37317359291188,216.4852614149699
C11,235.7954192614905,212.85247416214125
C12,235.3727767763186,210.19646944415598
C13,235.3727767763186,210.19646944415598
C14,235.84595432095932,213.21425520599738
C15,235.88575831988058,213.37266682874215
C16,235.52404033496256,211.0719535673019
C17,234.99481088802307,207.70753112452425
C18,235.7704234496034,212.6552134097382
C19,235.78765964687713,212.8461623558406
C20,235.9055927240984,213.58406898517245
